,date,neighbourhood,property type,daily rate,annual rate
0,2015-11,Seacliff,Apartment,$350.00,127750.0
1,2015-11,Seacliff,House,$300.00,109500.0
2,2015-11,Seacliff,House,$119.00,43435.0
3,2015-11,Seacliff,Apartment,$79.00,28835.0
4,2015-11,Seacliff,Apartment,$695.00,253675.0
5,2015-11,Seacliff,Apartment,$80.00,29200.0
6,2015-11,Seacliff,House,$135.00,49275.0
7,2015-11,Seacliff,Apartment,$215.00,78475.0
8,2015-11,Seacliff,House,$250.00,91250.0
9,2015-11,Seacliff,Apartment,$224.00,81760.0
10,2015-11,Seacliff,Apartment,$150.00,54750.0
11,2015-11,Seacliff,Apartment,$325.00,118625.0
12,2015-11,Seacliff,House,$675.00,246375.0
13,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
14,2015-11,Haight Ashbury,House,$136.00,49640.0
15,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
16,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
17,2015-11,Haight Ashbury,Apartment,$92.00,33580.0
18,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
19,2015-11,Haight Ashbury,Apartment,$185.00,67525.0
20,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
21,2015-11,Haight Ashbury,Apartment,$165.00,60225.0
22,2015-11,Haight Ashbury,House,$185.00,67525.0
23,2015-11,Haight Ashbury,Apartment,$225.00,82125.0
24,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
25,2015-11,Haight Ashbury,House,$96.00,35040.0
26,2015-11,Haight Ashbury,Apartment,$77.00,28105.0
27,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
28,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
29,2015-11,Haight Ashbury,Apartment,$85.00,31025.0
30,2015-11,Haight Ashbury,House,$139.00,50735.0
31,2015-11,Haight Ashbury,House,$65.00,23725.0
32,2015-11,Haight Ashbury,House,$165.00,60225.0
33,2015-11,Haight Ashbury,Apartment,$85.00,31025.0
