Assessor Neighborhood,Assessed Land Value,Closed Roll Year
Alamo Square,356275.88,2007
Anza Vista,249759.91,2007
Balboa Terrace,308412.95,2007
Bayview,181096.93,2007
Bayview Heights,128157.54,2007
Bernal Heights,186774.85,2007
Buena Vista Park,353209.29,2007
Central Richmond,231047.91,2007
Central Sunset,204738.03,2007
Clarendon Heights,361970.72,2007
Corona Heights,286211.35,2007
Cow Hollow,420805.77,2007
Croker Amazon,151060.2,2007
Diamond Heights,196532.57,2007
Downtown,272199.58,2007
Duboce Triangle,358107.08,2007
Eureka Valley/Dolores Heights,322382.81,2007
Excelsior,148926.17,2007
Financial District North,2644313.58,2007
Financial District South,1022518.34,2007
Forest Hill,325625.2,2007
Forest Hill Extension,249169.6,2007
Forest Knolls,247007.47,2007
Glen Park,222703.17,2007
Golden Gate Heights,213019.63,2007
Haight Ashbury,266865.44,2007
Hayes Valley,296898.51,2007
Hunters Point,131197.7,2007
Ingleside,139956.01,2007
Ingleside Heights,164813.58,2007
Ingleside Terrace,227586.46,2007
Inner Mission,248165.7,2007
Inner Parkside,212443.69,2007
Inner Richmond,260863.03,2007
Inner Sunset,222422.64,2007
Jordan Park/Laurel Heights,383009.95,2007
Lake --The Presidio,336394.67,2007
Lake Shore,267230.93,2007
Lakeside,245602.35,2007
Lone Mountain,234451.04,2007
Lower Pacific Heights,290080.66,2007
Marina,417058.45,2007
Merced Heights,145706.94,2007
Merced Manor,264933.28,2007
Midtown Terrace,185137.0,2007
Miraloma Park,212973.69,2007
Mission Bay,571093.45,2007
Mission Dolores,263433.66,2007
Mission Terrace,158993.3,2007
Monterey Heights,373488.93,2007
Mount Davidson Manor,228722.63,2007
Nob Hill,349129.72,2007
Noe Valley,281727.54,2007
North Beach,293967.79,2007
North Waterfront,623742.2,2007
Oceanview,152415.28,2007
Outer Mission,140347.0,2007
Outer Parkside,168398.29,2007
Outer Richmond,213832.72,2007
Outer Sunset,182392.96,2007
Pacific Heights,573531.94,2007
Park North,279193.25,2007
Parkside,178630.79,2007
Parnassus/Ashbury Heights,338432.75,2007
Pine Lake Park,226931.27,2007
Portola,142945.83,2007
Potrero Hill,266698.87,2007
Presidio Heights,791806.23,2007
Russian Hill,295948.91,2007
Sea Cliff,705068.37,2007
Sherwood Forest,276805.93,2007
Silver Terrace,112617.4,2007
South Beach,506311.48,2007
South of Market,416269.47,2007
St. Francis Wood,502566.21,2007
Stonestown,1155274.43,2007
Sunnyside,175818.58,2007
Telegraph Hill,354967.23,2007
Twin Peaks,254838.86,2007
Union Square,490166.7,2007
Van Ness/ Civic Center,253044.63,2007
Visitacion Valley,131492.66,2007
West Portal,260392.23,2007
Western Addition,293563.91,2007
Westwood Highlands,237474.76,2007
Westwood Park,199627.01,2007
Yerba Buena,158940.68,2007
Alamo Square,384701.69,2008
Anza Vista,321615.85,2008
Balboa Terrace,341652.47,2008
Bayview,192396.6,2008
Bayview Heights,136129.17,2008
Bernal Heights,205277.05,2008
Buena Vista Park,374901.21,2008
Central Richmond,247029.24,2008
Central Sunset,217938.46,2008
Clarendon Heights,397805.38,2008
Corona Heights,317710.05,2008
Cow Hollow,451936.56,2008
Croker Amazon,157757.37,2008
Diamond Heights,208914.23,2008
Downtown,310493.82,2008
Duboce Triangle,385705.05,2008
Eureka Valley/Dolores Heights,348609.33,2008
Excelsior,157575.19,2008
Financial District North,3178290.34,2008
Financial District South,1057585.13,2008
Forest Hill,353934.7,2008
Forest Hill Extension,265819.06,2008
Forest Knolls,283995.83,2008
Glen Park,249422.47,2008
Golden Gate Heights,225021.99,2008
Haight Ashbury,295156.81,2008
Hayes Valley,330275.89,2008
Hunters Point,136930.17,2008
Ingleside,149648.68,2008
Ingleside Heights,175069.85,2008
Ingleside Terrace,247797.72,2008
Inner Mission,279301.12,2008
Inner Parkside,228313.58,2008
Inner Richmond,274579.26,2008
Inner Sunset,242565.39,2008
Jordan Park/Laurel Heights,419160.71,2008
Lake --The Presidio,357013.47,2008
Lake Shore,282757.01,2008
Lakeside,262281.65,2008
Lone Mountain,256493.08,2008
Lower Pacific Heights,316623.14,2008
