Neighborhood,Year,Home Price,Annual Rent,City,Lat,Lng
Bayview,2011,182276.165,30723,San Francisco,37.730416,-122.384424
Bayview,2012,187250.875,28821,San Francisco,37.730416,-122.384424
Bayview,2013,196027.27000000002,30433,San Francisco,37.730416,-122.384424
Bayview,2014,201599.31,35338,San Francisco,37.730416,-122.384424
Bayview,2015,214597.84,42870,San Francisco,37.730416,-122.384424
Bayview,2016,227955.10000000003,45681,San Francisco,37.730416,-122.384424
Bernal Heights,2011,228865.78,34471,San Francisco,37.738949600000005,-122.4152013
Bernal Heights,2012,241607.2,35739,San Francisco,37.738949600000005,-122.4152013
Bernal Heights,2013,252609.86,38924,San Francisco,37.738949600000005,-122.4152013
Bernal Heights,2014,270243.42,43654,San Francisco,37.738949600000005,-122.4152013
Bernal Heights,2015,292751.02,53977,San Francisco,37.738949600000005,-122.4152013
Bernal Heights,2016,324871.45,54833,San Francisco,37.738949600000005,-122.4152013
Buena Vista,2011,422857.42,42407,San Francisco,37.806504499999996,-122.42077830000001
Buena Vista,2012,443629.31,45678,San Francisco,37.806504499999996,-122.42077830000001
Buena Vista,2013,474521.28,49364,San Francisco,37.806504499999996,-122.42077830000001
Buena Vista,2014,497350.77,53889,San Francisco,37.806504499999996,-122.42077830000001
Buena Vista,2015,524772.2,61646,San Francisco,37.806504499999996,-122.42077830000001
Buena Vista,2016,564796.08,65690,San Francisco,37.806504499999996,-122.42077830000001
Corona Heights,2011,342979.05,41051,San Francisco,37.7618119,-122.44318510000001
Corona Heights,2012,364459.86,44269,San Francisco,37.7618119,-122.44318510000001
Corona Heights,2013,379856.65,48263,San Francisco,37.7618119,-122.44318510000001
Corona Heights,2014,403671.12,52768,San Francisco,37.7618119,-122.44318510000001
Corona Heights,2015,424334.14,61781,San Francisco,37.7618119,-122.44318510000001
Corona Heights,2016,449347.92,64072,San Francisco,37.7618119,-122.44318510000001
Cow Hollow,2011,518223.26,52856,San Francisco,37.798033000000004,-122.43964629999999
Cow Hollow,2012,560901.83,52816,San Francisco,37.798033000000004,-122.43964629999999
Cow Hollow,2013,598064.84,56455,San Francisco,37.798033000000004,-122.43964629999999
Cow Hollow,2014,627728.74,62256,San Francisco,37.798033000000004,-122.43964629999999
Cow Hollow,2015,664017.42,75947,San Francisco,37.798033000000004,-122.43964629999999
Cow Hollow,2016,717956.31,78557,San Francisco,37.798033000000004,-122.43964629999999
Crocker Amazon,2011,168466.08,31133,San Francisco,37.71195230000001,-122.4375836
Crocker Amazon,2012,171720.42,29851,San Francisco,37.71195230000001,-122.4375836
Crocker Amazon,2013,182032.94,32700,San Francisco,37.71195230000001,-122.4375836
Crocker Amazon,2014,193343.09,35965,San Francisco,37.71195230000001,-122.4375836
Crocker Amazon,2015,207129.02,42999,San Francisco,37.71195230000001,-122.4375836
Crocker Amazon,2016,221071.27,46775,San Francisco,37.71195230000001,-122.4375836
Diamond Heights,2011,232622.33,36285,San Francisco,37.7423723,-122.44247730000001
Diamond Heights,2012,238336.8,37187,San Francisco,37.7423723,-122.44247730000001
Diamond Heights,2013,248897.21,40827,San Francisco,37.7423723,-122.44247730000001
Diamond Heights,2014,262487.85,45496,San Francisco,37.7423723,-122.44247730000001
Diamond Heights,2015,296746.06,52941,San Francisco,37.7423723,-122.44247730000001
Diamond Heights,2016,313987.93,54683,San Francisco,37.7423723,-122.44247730000001
Downtown,2011,339773.11,30867,San Francisco,37.7945742,-122.3999445
Downtown,2012,356802.42,32413,San Francisco,37.7945742,-122.3999445
Downtown,2013,387340.0,37094,San Francisco,37.7945742,-122.3999445
Downtown,2014,413642.96,41836,San Francisco,37.7945742,-122.3999445
Downtown,2015,432624.39,45888,San Francisco,37.7945742,-122.3999445
Downtown,2016,457311.46,48147,San Francisco,37.7945742,-122.3999445
Excelsior,2011,169683.12,31277,San Francisco,37.7244152,-122.4272295
Excelsior,2012,171672.85,29939,San Francisco,37.7244152,-122.4272295
Excelsior,2013,176756.57,32073,San Francisco,37.7244152,-122.4272295
Excelsior,2014,187218.61,36329,San Francisco,37.7244152,-122.4272295
Excelsior,2015,200538.82,43399,San Francisco,37.7244152,-122.4272295
Excelsior,2016,214011.14,47102,San Francisco,37.7244152,-122.4272295
Financial District,2011,2418137.02,50749,San Francisco,37.7945742,-122.3999445
Financial District,2012,2480934.5149999997,49586,San Francisco,37.7945742,-122.3999445
Financial District,2013,2553681.38,56336,San Francisco,37.7945742,-122.3999445
Financial District,2014,2676867.425,59751,San Francisco,37.7945742,-122.3999445
Financial District,2015,2682548.7,75575,San Francisco,37.7945742,-122.3999445
Financial District,2016,2904879.44,73448,San Francisco,37.7945742,-122.3999445
Forest Hill,2011,336783.295,48312,San Francisco,37.7473152,-122.46512320000001
Forest Hill,2012,353958.055,46451,San Francisco,37.7473152,-122.46512320000001
Forest Hill,2013,365858.87,52137,San Francisco,37.7473152,-122.46512320000001
Forest Hill,2014,405980.46499999997,55429,San Francisco,37.7473152,-122.46512320000001
Forest Hill,2015,432492.51,67766,San Francisco,37.7473152,-122.46512320000001
Forest Hill,2016,464450.895,72182,San Francisco,37.7473152,-122.46512320000001
Forest Knolls,2011,333460.06,37977,San Francisco,37.75858789999999,-122.4594622
Forest Knolls,2012,352654.77,40084,San Francisco,37.75858789999999,-122.4594622
Forest Knolls,2013,368382.4,40165,San Francisco,37.75858789999999,-122.4594622
Forest Knolls,2014,386308.27,47934,San Francisco,37.75858789999999,-122.4594622
Forest Knolls,2015,436464.95,61497,San Francisco,37.75858789999999,-122.4594622
Forest Knolls,2016,458681.98,61292,San Francisco,37.75858789999999,-122.4594622
Glen Park,2011,278990.88,39661,San Francisco,37.73777150000001,-122.4321041
Glen Park,2012,293963.95,38692,San Francisco,37.73777150000001,-122.4321041
Glen Park,2013,306351.15,40460,San Francisco,37.73777150000001,-122.4321041
Glen Park,2014,325954.5,46253,San Francisco,37.73777150000001,-122.4321041
Glen Park,2015,356082.16,58964,San Francisco,37.73777150000001,-122.4321041
Glen Park,2016,384803.53,61949,San Francisco,37.73777150000001,-122.4321041
Golden Gate Heights,2011,254303.98,41205,San Francisco,37.7527187,-122.47078390000001
Golden Gate Heights,2012,265229.51,39673,San Francisco,37.7527187,-122.47078390000001
Golden Gate Heights,2013,277620.47,41132,San Francisco,37.7527187,-122.47078390000001
Golden Gate Heights,2014,299835.49,47530,San Francisco,37.7527187,-122.47078390000001
Golden Gate Heights,2015,317901.88,56869,San Francisco,37.7527187,-122.47078390000001
Golden Gate Heights,2016,341101.3,62153,San Francisco,37.7527187,-122.47078390000001
Hayes Valley,2011,372836.37,37659,San Francisco,37.7759073,-122.42452469999999
Hayes Valley,2012,393870.33,42695,San Francisco,37.7759073,-122.42452469999999
Hayes Valley,2013,407516.05,45522,San Francisco,37.7759073,-122.42452469999999
Hayes Valley,2014,379618.81,50234,San Francisco,37.7759073,-122.42452469999999
Hayes Valley,2015,449677.97,57185,San Francisco,37.7759073,-122.42452469999999
Hayes Valley,2016,471214.69,57397,San Francisco,37.7759073,-122.42452469999999
Ingleside,2011,161518.36,30815,San Francisco,37.7198213,-122.4538009
Ingleside,2012,169398.52,30007,San Francisco,37.7198213,-122.4538009
Ingleside,2013,175828.53,32206,San Francisco,37.7198213,-122.4538009
Ingleside,2014,186952.96,36867,San Francisco,37.7198213,-122.4538009
Ingleside,2015,197977.36,44021,San Francisco,37.7198213,-122.4538009
Ingleside,2016,210880.31,47426,San Francisco,37.7198213,-122.4538009
Ingleside Heights,2011,163219.45,29344,San Francisco,37.7130811,-122.46795359999999
Ingleside Heights,2012,177093.01,29281,San Francisco,37.7130811,-122.46795359999999
Ingleside Heights,2013,178849.66,30830,San Francisco,37.7130811,-122.46795359999999
Ingleside Heights,2014,201744.63,35377,San Francisco,37.7130811,-122.46795359999999
Ingleside Heights,2015,215651.08,42041,San Francisco,37.7130811,-122.46795359999999
Ingleside Heights,2016,224515.85,44217,San Francisco,37.7130811,-122.46795359999999
Ingleside Terrace,2011,275703.45,42007,San Francisco,37.7198213,-122.4538009
Ingleside Terrace,2012,285441.25,39465,San Francisco,37.7198213,-122.4538009
Ingleside Terrace,2013,299835.2,40905,San Francisco,37.7198213,-122.4538009
Ingleside Terrace,2014,326934.77,48414,San Francisco,37.7198213,-122.4538009
Ingleside Terrace,2015,351266.29,59744,San Francisco,37.7198213,-122.4538009
Ingleside Terrace,2016,384685.43,64533,San Francisco,37.7198213,-122.4538009
Inner Richmond,2011,315388.54,42140,San Francisco,37.7798704,-122.46474579999999
Inner Richmond,2012,329123.87,42804,San Francisco,37.7798704,-122.46474579999999
Inner Richmond,2013,341393.61,46078,San Francisco,37.7798704,-122.46474579999999
Inner Richmond,2014,354023.5,54086,San Francisco,37.7798704,-122.46474579999999
Inner Richmond,2015,377333.15,64403,San Francisco,37.7798704,-122.46474579999999
Inner Richmond,2016,400669.67,67152,San Francisco,37.7798704,-122.46474579999999
Inner Sunset,2011,270334.83,38809,San Francisco,37.7607369,-122.46795359999999
Inner Sunset,2012,285141.79,38314,San Francisco,37.7607369,-122.46795359999999
Inner Sunset,2013,298541.0,39644,San Francisco,37.7607369,-122.46795359999999
Inner Sunset,2014,313089.01,46726,San Francisco,37.7607369,-122.46795359999999
Inner Sunset,2015,328996.16,54878,San Francisco,37.7607369,-122.46795359999999
Inner Sunset,2016,344436.31,58611,San Francisco,37.7607369,-122.46795359999999
Lake,2011,407700.72,53120,San Francisco,37.7226724,-122.4948384
Lake,2012,422759.67,50271,San Francisco,37.7226724,-122.4948384
Lake,2013,438877.5,55084,San Francisco,37.7226724,-122.4948384
Lake,2014,464123.52,64645,San Francisco,37.7226724,-122.4948384
Lake,2015,492922.73,77554,San Francisco,37.7226724,-122.4948384
Lake,2016,525258.77,80636,San Francisco,37.7226724,-122.4948384
Lakeshore,2012,336250.24,34822,San Francisco,37.7233167,-122.4886792
Lakeshore,2013,344243.17,37181,San Francisco,37.7233167,-122.4886792
Lakeshore,2014,358644.49,42678,San Francisco,37.7233167,-122.4886792
Lakeshore,2015,383652.27,49551,San Francisco,37.7233167,-122.4886792
Lakeshore,2016,405115.56,54499,San Francisco,37.7233167,-122.4886792
Laurel Heights,2011,454561.26,53096,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2012,485665.34,52995,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2013,508941.63,58366,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2014,528762.84,65464,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2015,568872.29,83258,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2016,604172.49,86230,San Francisco,37.7850214,-122.45097009999999
Lone Mountain,2011,294906.83,40284,San Francisco,37.7938181,-122.4644162
Lone Mountain,2012,302922.16,42581,San Francisco,37.7938181,-122.4644162
Lone Mountain,2013,316340.92,45762,San Francisco,37.7938181,-122.4644162
Lone Mountain,2014,329790.62,50898,San Francisco,37.7938181,-122.4644162
Lone Mountain,2015,357248.3,59236,San Francisco,37.7938181,-122.4644162
Lone Mountain,2016,382272.37,63177,San Francisco,37.7938181,-122.4644162
Lower Pacific Heights,2011,363644.66,35917,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2012,387242.36,39761,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2013,405723.49,43776,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2014,432758.58,48677,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2015,464476.04,56145,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2016,467876.81,54229,San Francisco,37.786997,-122.43681509999999
Marina,2011,522087.53,51035,San Francisco,37.8036667,-122.43681509999999
Marina,2012,551994.84,52040,San Francisco,37.8036667,-122.43681509999999
Marina,2013,575636.18,58240,San Francisco,37.8036667,-122.43681509999999
Marina,2014,605052.69,63926,San Francisco,37.8036667,-122.43681509999999
Marina,2015,646166.92,77660,San Francisco,37.8036667,-122.43681509999999
Marina,2016,682746.05,79339,San Francisco,37.8036667,-122.43681509999999
Midtown Terrace,2011,233368.42,35627,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2012,244991.57,37669,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2013,258931.24,39682,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2014,264509.43,44805,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2015,281078.97,52528,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2016,301071.06,53875,San Francisco,37.75080139999999,-122.4538009
Miraloma Park,2011,255138.6,37254,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2012,266743.22,36974,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2013,277421.58,38700,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2014,289635.11,44368,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2015,310667.5,52094,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2016,340174.76,54622,San Francisco,37.7403241,-122.44477749999999
Mission,2011,332193.75,36022,San Francisco,37.759864799999995,-122.4147977
Mission,2012,350268.41,40006,San Francisco,37.759864799999995,-122.4147977
Mission,2013,356998.36,43726,San Francisco,37.759864799999995,-122.4147977
Mission,2014,367443.79,48227,San Francisco,37.759864799999995,-122.4147977
Mission,2015,378397.83,56321,San Francisco,37.759864799999995,-122.4147977
Mission,2016,412155.6,55704,San Francisco,37.759864799999995,-122.4147977
Mission Bay,2011,604300.25,40279,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2012,674416.18,43564,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2013,699480.22,50659,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2014,715110.84,54253,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2015,721135.32,61977,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2016,787160.11,61331,San Francisco,37.7730963,-122.39292250000001
Mission Terrace,2011,188918.27,32045,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2012,199253.63,31446,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2013,202730.81,33452,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2014,214961.87,37844,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2015,228188.06,46263,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2016,245679.1,50034,San Francisco,37.7245693,-122.44335729999999
Mount Davidson Manor,2011,269055.29,36736,San Francisco,37.7283105,-122.4630004
Mount Davidson Manor,2012,277229.43,36010,San Francisco,37.7283105,-122.4630004
