Neighborhood,Rent_2011,Rent_2012,Rent_2013,Rent_2014,Rent_2015,Rent_2016,Rent_2017,City,Avg Rent,Lat,Lng
Bayview,30723,28821,30433,35338,42870,45681,45747,San Francisco,37087.57,37.730416,-122.384424
Bernal Heights,34471,35739,38924,43654,53977,54833,53741,San Francisco,45048.43,37.7389496,-122.4152013
Buena Vista,42407,45678,49364,53889,61646,65690,61917,San Francisco,54370.14,37.8065045,-122.4207783
Corona Heights,41051,44269,48263,52768,61781,64072,59849,San Francisco,53150.43,37.7618119,-122.4431851
Cow Hollow,52856,52816,56455,62256,75947,78557,71952,San Francisco,64405.57,37.798033,-122.4396463
Crocker Amazon,31133,29851,32700,35965,42999,46775,45098,San Francisco,37788.71,37.71195230000001,-122.4375836
Diamond Heights,36285,37187,40827,45496,52941,54683,52414,San Francisco,45690.43,37.7423723,-122.4424773
Downtown,30867,32413,37094,41836,45888,48147,43747,San Francisco,39998.86,37.7945742,-122.3999445
Excelsior,31277,29939,32073,36329,43399,47102,45230,San Francisco,37907.0,37.7244152,-122.4272295
Financial District,50749,49586,56336,59751,75575,73448,68870,San Francisco,62045.0,37.7945742,-122.3999445
Forest Hill,48312,46451,52137,55429,67766,72182,68794,San Francisco,58724.43,37.7473152,-122.4651232
Forest Knolls,37977,40084,40165,47934,61497,61292,55385,San Francisco,49190.57,37.75858789999999,-122.4594622
Glen Park,39661,38692,40460,46253,58964,61949,56496,San Francisco,48925.0,37.73777150000001,-122.4321041
Golden Gate Heights,41205,39673,41132,47530,56869,62153,58254,San Francisco,49545.14,37.7527187,-122.4707839
Haight,40705,43470,46185,51620,59076,61462,57491,San Francisco,51429.86,37.7692204,-122.4481393
Hayes Valley,37659,42695,45522,50234,57185,57397,55167,San Francisco,49408.43,37.7759073,-122.4245247
Ingleside,30815,30007,32206,36867,44021,47426,44539,San Francisco,37983.0,37.7198213,-122.4538009
Ingleside Heights,29344,29281,30830,35377,42041,44217,42318,San Francisco,36201.14,37.7130811,-122.4679536
Ingleside Terrace,42007,39465,40905,48414,59744,64533,60947,San Francisco,50859.29,37.7198213,-122.4538009
Inner Richmond,42140,42804,46078,54086,64403,67152,63365,San Francisco,54289.71,37.7798704,-122.4647458
Inner Sunset,38809,38314,39644,46726,54878,58611,54780,San Francisco,47394.57,37.7607369,-122.4679536
Lake,53120,50271,55084,64645,77554,80636,80655,San Francisco,65995.0,37.7226724,-122.4948384
Lakeshore,36655,34822,37181,42678,49551,54499,51854,San Francisco,43891.43,37.7233167,-122.4886792
Laurel Heights,53096,52995,58366,65464,83258,86230,83106,San Francisco,68930.71,37.7850214,-122.4509701
Little Hollywood,30344,28978,31431,35330,41639,44587,43736,San Francisco,36577.86,37.7114455,-122.3984311
Lone Mountain,40284,42581,45762,50898,59236,63177,60904,San Francisco,51834.57,37.7938181,-122.4644162
Lower Pacific Heights,35917,39761,43776,48677,56145,54229,53018,San Francisco,47360.43,37.786997,-122.4368151
Marina,51035,52040,58240,63926,77660,79339,76170,San Francisco,65487.14,37.8036667,-122.4368151
Midtown Terrace,35627,37669,39682,44805,52528,53875,50628,San Francisco,44973.43,37.7508014,-122.4538009
Miraloma Park,37254,36974,38700,44368,52094,54622,52528,San Francisco,45220.0,37.7403241,-122.4447775
Mission,36022,40006,43726,48227,56321,55704,54528,San Francisco,47790.57,37.7598648,-122.4147977
Mission Bay,40279,43564,50659,54253,61977,61331,58614,San Francisco,52953.86,37.7730963,-122.3929225
Mission Terrace,32045,31446,33452,37844,46263,50034,48847,San Francisco,39990.14,37.7245693,-122.4433573
Mount Davidson Manor,36736,36010,37598,44049,53196,56955,54700,San Francisco,45606.29,37.7283105,-122.4630004
Nob Hill,42413,44622,48324,51749,62760,64219,60638,San Francisco,53532.14,37.793014,-122.416113
Noe Valley,44162,44754,49995,53547,64871,67293,64255,San Francisco,55553.86,37.7502378,-122.4337029
North Beach,37995,41975,47594,49460,58693,57787,54659,San Francisco,49737.57,37.8060532,-122.4103311
North Waterfront,34702,38590,44866,45927,52775,53171,50236,San Francisco,45752.43,37.7993601,-122.397385
Oceanview,30397,29645,31425,36191,42631,46151,43351,San Francisco,37113.0,37.7141828,-122.4566316
Outer Mission,30807,29746,32378,35883,43435,46788,44454,San Francisco,37641.57,37.71567770000001,-122.4457911
Outer Richmond,33598,35080,37893,44089,49632,53234,50425,San Francisco,43421.57,37.777677,-122.49531
Outer Sunset,31582,32118,35341,40952,46329,49051,46989,San Francisco,40337.43,37.7467314,-122.4863492
Pacific Heights,52744,52688,55809,60294,76171,77006,71138,San Francisco,63692.86,37.7925153,-122.4382307
Panhandle,37596,42397,44105,49299,56483,57848,55198,San Francisco,48989.43,37.7724379,-122.4462853
Parkside,33088,33713,36523,41617,47293,50989,49167,San Francisco,41770.0,37.733048,-122.4785669
Portola,31881,30348,32281,36471,44678,48789,47583,San Francisco,38861.57,37.7297408,-122.4099154
Potrero Hill,36907,39975,43740,48146,57273,57852,54759,San Francisco,48378.86,37.7604929,-122.400869
Presidio Heights,127688,123665,139274,151423,177832,193510,182993,San Francisco,156626.43,37.7889125,-122.4538009
Russian Hill,44766,46269,51547,55759,65678,66790,63153,San Francisco,56280.29,37.8010963,-122.4195558
Seacliff,101636,95365,108971,118992,150193,160275,147824,San Francisco,126179.43,37.785941,-122.4907
Silver Terrace,30945,29512,31076,36568,43563,46207,45820,San Francisco,37670.14,37.7332209,-122.3985871
South Beach,39710,41019,47255,51133,58609,57475,54793,San Francisco,49999.14,37.7835826,-122.3899066
South of Market,34134,37410,40589,45420,51266,50702,48045,San Francisco,43938.0,37.7785189,-122.4056395
St. Francis Wood,69361,65532,68816,72159,94538,105237,107361,San Francisco,83286.29,37.7377845,-122.4651232
Stonestown,40306,37921,39094,44954,55618,59743,57069,San Francisco,47815.0,37.7282649,-122.4794164
