,Assessor Neighborhood,Closed Roll Year,Assessed Land Value,Pct Change
0,Alamo Square,2007.0,356275.88019966724,0
1,Alamo Square,2008.0,384701.68595041323,0
2,Alamo Square,2009.0,399153.25611745514,0
3,Alamo Square,2010.0,411813.4324324324,0
4,Alamo Square,2011.0,425384.557844691,0
5,Alamo Square,2012.0,446702.2627388535,0
6,Alamo Square,2013.0,464920.92846034217,0
7,Alamo Square,2014.0,480889.71927162365,0
8,Alamo Square,2015.0,511735.1915535445,0
9,Alamo Square,2016.0,541590.723880597,0
10,Anza Vista,2007.0,249759.90945674045,0
11,Anza Vista,2008.0,321615.8537074148,0
12,Anza Vista,2009.0,331171.11706349207,0
13,Anza Vista,2010.0,350678.7218934911,0
14,Anza Vista,2011.0,362450.2574257426,0
15,Anza Vista,2012.0,372775.98217821785,0
16,Anza Vista,2013.0,368467.1959334566,0
17,Anza Vista,2014.0,395748.78624535317,0
18,Anza Vista,2015.0,404192.18579234974,0
19,Anza Vista,2016.0,447036.3944954128,0
20,Balboa Terrace,2007.0,308412.9527027027,0
21,Balboa Terrace,2008.0,341652.47297297296,0
22,Balboa Terrace,2009.0,371521.1925675676,0
23,Balboa Terrace,2010.0,371658.375,0
24,Balboa Terrace,2011.0,393022.90202702704,0
25,Balboa Terrace,2012.0,401177.13513513515,0
26,Balboa Terrace,2013.0,402963.6452702703,0
27,Balboa Terrace,2014.0,438819.9391891892,0
28,Balboa Terrace,2015.0,474828.22297297296,0
29,Balboa Terrace,2016.0,507151.7804054054,0
30,Bayview,2007.0,181096.93469198703,0
31,Bayview,2008.0,192396.60304990757,0
32,Bayview,2009.0,210800.5011547344,0
33,Bayview,2010.0,214896.31655844155,0
34,Bayview,2011.0,224548.10035842293,0
35,Bayview,2012.0,221454.84,0
36,Bayview,2013.0,233151.55842745438,0
37,Bayview,2014.0,242111.96037245562,0
38,Bayview,2015.0,258376.03046672427,0
39,Bayview,2016.0,275866.27567567566,0
40,Bayview Heights,2007.0,128157.54028132993,0
41,Bayview Heights,2008.0,136129.1708253359,0
42,Bayview Heights,2009.0,137386.11011523686,0
43,Bayview Heights,2010.0,139407.96104725415,0
44,Bayview Heights,2011.0,140004.2285012285,0
45,Bayview Heights,2012.0,153046.9078057775,0
46,Bayview Heights,2013.0,158902.9828536436,0
47,Bayview Heights,2014.0,161086.6572654813,0
48,Bayview Heights,2015.0,170819.65358675658,0
49,Bayview Heights,2016.0,180043.92105263157,0
50,Bernal Heights,2007.0,186774.85204855842,0
51,Bernal Heights,2008.0,205277.04945262364,0
52,Bernal Heights,2009.0,217385.8119819141,0
53,Bernal Heights,2010.0,220154.29614376638,0
54,Bernal Heights,2011.0,228865.78281889178,0
55,Bernal Heights,2012.0,241607.19836248603,0
56,Bernal Heights,2013.0,252609.85926476048,0
57,Bernal Heights,2014.0,270243.4227913883,0
58,Bernal Heights,2015.0,292751.01989683125,0
59,Bernal Heights,2016.0,324871.4457079971,0
60,Buena Vista Park,2007.0,353209.28808864264,0
61,Buena Vista Park,2008.0,374901.2096551724,0
62,Buena Vista Park,2009.0,392689.32060027285,0
63,Buena Vista Park,2010.0,401270.0951742627,0
64,Buena Vista Park,2011.0,422857.4193548387,0
65,Buena Vista Park,2012.0,443629.3064516129,0
66,Buena Vista Park,2013.0,474521.2771084337,0
67,Buena Vista Park,2014.0,497350.7677165354,0
68,Buena Vista Park,2015.0,524772.2002617801,0
69,Buena Vista Park,2016.0,564796.0802069858,0
70,Central Richmond,2007.0,231047.90760869565,0
71,Central Richmond,2008.0,247029.23992285438,0
72,Central Richmond,2009.0,261077.27766059444,0
73,Central Richmond,2010.0,270760.8143459916,0
74,Central Richmond,2011.0,278255.26323838654,0
75,Central Richmond,2012.0,289221.39399732364,0
76,Central Richmond,2013.0,300168.7843137255,0
77,Central Richmond,2014.0,314233.55046569096,0
78,Central Richmond,2015.0,335989.0494224579,0
79,Central Richmond,2016.0,359061.41321219003,0
80,Central Sunset,2007.0,204738.03461668355,0
81,Central Sunset,2008.0,217938.45816464236,0
82,Central Sunset,2009.0,229350.29253077053,0
83,Central Sunset,2010.0,231694.2915122937,0
84,Central Sunset,2011.0,242241.7228773585,0
85,Central Sunset,2012.0,251350.20161697827,0
86,Central Sunset,2013.0,258710.61451667227,0
87,Central Sunset,2014.0,270496.48864209995,0
88,Central Sunset,2015.0,283688.2076136173,0
89,Central Sunset,2016.0,297200.17351215426,0
90,Clarendon Heights,2007.0,361970.7205882353,0
91,Clarendon Heights,2008.0,397805.38032786886,0
92,Clarendon Heights,2009.0,424246.61211129295,0
93,Clarendon Heights,2010.0,433242.0115131579,0
94,Clarendon Heights,2011.0,456422.8676470588,0
95,Clarendon Heights,2012.0,489603.7016393443,0
96,Clarendon Heights,2013.0,517453.59410801966,0
97,Clarendon Heights,2014.0,535623.603960396,0
98,Clarendon Heights,2015.0,570922.8912685338,0
99,Clarendon Heights,2016.0,592164.1120263592,0
100,Corona Heights,2007.0,286211.34715960326,0
101,Corona Heights,2008.0,317710.05424954795,0
102,Corona Heights,2009.0,327748.89707187226,0
103,Corona Heights,2010.0,338444.62071992975,0
104,Corona Heights,2011.0,342979.0503909644,0
105,Corona Heights,2012.0,364459.86240140226,0
106,Corona Heights,2013.0,379856.64700854704,0
107,Corona Heights,2014.0,403671.12372013653,0
108,Corona Heights,2015.0,424334.1375212224,0
109,Corona Heights,2016.0,449347.9194630872,0
110,Cow Hollow,2007.0,420805.7726692209,0
111,Cow Hollow,2008.0,451936.56223893067,0
112,Cow Hollow,2009.0,489572.1114357262,0
113,Cow Hollow,2010.0,511956.4448605909,0
114,Cow Hollow,2011.0,518223.25591836736,0
115,Cow Hollow,2012.0,560901.8323770491,0
116,Cow Hollow,2013.0,598064.8395112016,0
117,Cow Hollow,2014.0,627728.740859783,0
118,Cow Hollow,2015.0,664017.4209478295,0
119,Cow Hollow,2016.0,717956.3121756488,0
120,Croker Amazon,2007.0,151060.19703243618,0
121,Croker Amazon,2008.0,157757.3702553485,0
122,Croker Amazon,2009.0,159612.8702553485,0
123,Croker Amazon,2010.0,160064.21635610767,0
124,Croker Amazon,2011.0,168466.07694962042,0
125,Croker Amazon,2012.0,171720.42305037958,0
126,Croker Amazon,2013.0,182032.94314266022,0
127,Croker Amazon,2014.0,193343.08752584425,0
128,Croker Amazon,2015.0,207129.01687327825,0
129,Croker Amazon,2016.0,221071.26987951808,0
130,Diamond Heights,2007.0,196532.5650089874,0
131,Diamond Heights,2008.0,208914.23123123124,0
132,Diamond Heights,2009.0,221040.57579388857,0
133,Diamond Heights,2010.0,223258.79904019195,0
134,Diamond Heights,2011.0,232622.33333333334,0
135,Diamond Heights,2012.0,238336.79676258992,0
136,Diamond Heights,2013.0,248897.2079089275,0
137,Diamond Heights,2014.0,262487.8451882845,0
138,Diamond Heights,2015.0,296746.05508982035,0
139,Diamond Heights,2016.0,313987.9262589928,0
140,Downtown,2007.0,272199.58462259726,0
141,Downtown,2008.0,310493.8238544785,0
142,Downtown,2009.0,329859.43511972635,0
143,Downtown,2010.0,334514.25238744885,0
144,Downtown,2011.0,339773.1068181818,0
