,Assessor Neighborhood,Assessed Land Value,Closed Roll Year
0,Alamo Square,356275.88,2007
1,Anza Vista,249759.91,2007
2,Balboa Terrace,308412.95,2007
3,Bayview,181096.93,2007
4,Bayview Heights,128157.54,2007
5,Bernal Heights,186774.85,2007
6,Buena Vista Park,353209.29,2007
7,Central Richmond,231047.91,2007
8,Central Sunset,204738.03,2007
9,Clarendon Heights,361970.72,2007
10,Corona Heights,286211.35,2007
11,Cow Hollow,420805.77,2007
12,Croker Amazon,151060.2,2007
13,Diamond Heights,196532.57,2007
14,Downtown,272199.58,2007
15,Duboce Triangle,358107.08,2007
16,Eureka Valley/Dolores Heights,322382.81,2007
17,Excelsior,148926.17,2007
18,Financial District North,2644313.58,2007
19,Financial District South,1022518.34,2007
20,Forest Hill,325625.2,2007
21,Forest Hill Extension,249169.6,2007
22,Forest Knolls,247007.47,2007
23,Glen Park,222703.17,2007
24,Golden Gate Heights,213019.63,2007
25,Haight Ashbury,266865.44,2007
26,Hayes Valley,296898.51,2007
27,Hunters Point,131197.7,2007
28,Ingleside,139956.01,2007
29,Ingleside Heights,164813.58,2007
30,Ingleside Terrace,227586.46,2007
31,Inner Mission,248165.7,2007
32,Inner Parkside,212443.69,2007
33,Inner Richmond,260863.03,2007
34,Inner Sunset,222422.64,2007
35,Jordan Park/Laurel Heights,383009.95,2007
36,Lake --The Presidio,336394.67,2007
37,Lake Shore,267230.93,2007
38,Lakeside,245602.35,2007
39,Lone Mountain,234451.04,2007
40,Lower Pacific Heights,290080.66,2007
41,Marina,417058.45,2007
42,Merced Heights,145706.94,2007
43,Merced Manor,264933.28,2007
44,Midtown Terrace,185137.0,2007
45,Miraloma Park,212973.69,2007
46,Mission Bay,571093.45,2007
47,Mission Dolores,263433.66,2007
48,Mission Terrace,158993.3,2007
49,Monterey Heights,373488.93,2007
50,Mount Davidson Manor,228722.63,2007
51,Nob Hill,349129.72,2007
52,Noe Valley,281727.54,2007
53,North Beach,293967.79,2007
54,North Waterfront,623742.2,2007
55,Oceanview,152415.28,2007
56,Outer Mission,140347.0,2007
57,Outer Parkside,168398.29,2007
58,Outer Richmond,213832.72,2007
59,Outer Sunset,182392.96,2007
60,Pacific Heights,573531.94,2007
61,Park North,279193.25,2007
62,Parkside,178630.79,2007
63,Parnassus/Ashbury Heights,338432.75,2007
64,Pine Lake Park,226931.27,2007
65,Portola,142945.83,2007
66,Potrero Hill,266698.87,2007
67,Presidio Heights,791806.23,2007
68,Russian Hill,295948.91,2007
69,Sea Cliff,705068.37,2007
70,Sherwood Forest,276805.93,2007
71,Silver Terrace,112617.4,2007
72,South Beach,506311.48,2007
73,South of Market,416269.47,2007
74,St. Francis Wood,502566.21,2007
75,Stonestown,1155274.43,2007
76,Sunnyside,175818.58,2007
77,Telegraph Hill,354967.23,2007
78,Twin Peaks,254838.86,2007
79,Union Square,490166.7,2007
80,Van Ness/ Civic Center,253044.63,2007
81,Visitacion Valley,131492.66,2007
82,West Portal,260392.23,2007
83,Western Addition,293563.91,2007
84,Westwood Highlands,237474.76,2007
85,Westwood Park,199627.01,2007
86,Yerba Buena,158940.68,2007
87,Alamo Square,384701.69,2008
88,Anza Vista,321615.85,2008
89,Balboa Terrace,341652.47,2008
90,Bayview,192396.6,2008
91,Bayview Heights,136129.17,2008
92,Bernal Heights,205277.05,2008
93,Buena Vista Park,374901.21,2008
94,Central Richmond,247029.24,2008
95,Central Sunset,217938.46,2008
96,Clarendon Heights,397805.38,2008
97,Corona Heights,317710.05,2008
98,Cow Hollow,451936.56,2008
99,Croker Amazon,157757.37,2008
100,Diamond Heights,208914.23,2008
101,Downtown,310493.82,2008
102,Duboce Triangle,385705.05,2008
103,Eureka Valley/Dolores Heights,348609.33,2008
104,Excelsior,157575.19,2008
105,Financial District North,3178290.34,2008
106,Financial District South,1057585.13,2008
107,Forest Hill,353934.7,2008
