,Assessor Neighborhood,Closed Roll Year,Assessed Land Value,Pct Change
0,Bayview,2007,146817.39116666667,0
1,Bayview,2008,155151.98276666665,0
2,Bayview,2009,171617.6076,0
3,Bayview,2010,175450.5449,0
4,Bayview,2011,175691.80613333333,0
5,Bayview,2012,177818.91446666667,0
6,Bayview,2013,182203.74140000003,0
7,Bayview,2014,185691.45136666668,0
8,Bayview,2015,198571.03923333331,0
9,Bayview,2016,223100.19713333333,0
10,Bernal Heights,2007,186774.85199999998,0
11,Bernal Heights,2008,205277.0495,0
12,Bernal Heights,2009,217385.812,0
13,Bernal Heights,2010,220154.2961,0
14,Bernal Heights,2011,228865.7828,0
15,Bernal Heights,2012,241607.1984,0
16,Bernal Heights,2013,252609.8593,0
17,Bernal Heights,2014,270243.4228,0
18,Bernal Heights,2015,292751.0199,0
19,Bernal Heights,2016,324871.4457,0
20,Buena Vista,2007,353209.2881,0
21,Buena Vista,2008,374901.2097,0
22,Buena Vista,2009,392689.3206,0
23,Buena Vista,2010,401270.0952,0
24,Buena Vista,2011,422857.4194,0
25,Buena Vista,2012,443629.3065,0
26,Buena Vista,2013,474521.2771,0
27,Buena Vista,2014,497350.7677,0
28,Buena Vista,2015,524772.2003,0
29,Buena Vista,2016,564796.0802,0
30,Corona Heights,2007,286211.3472,0
31,Corona Heights,2008,317710.0542,0
32,Corona Heights,2009,327748.8971,0
33,Corona Heights,2010,338444.6207,0
34,Corona Heights,2011,342979.0504,0
35,Corona Heights,2012,364459.8624,0
36,Corona Heights,2013,379856.64700000006,0
37,Corona Heights,2014,403671.1237,0
38,Corona Heights,2015,424334.1375,0
39,Corona Heights,2016,449347.9195,0
40,Cow Hollow,2007,420805.7727,0
41,Cow Hollow,2008,451936.5622,0
42,Cow Hollow,2009,489572.1114,0
43,Cow Hollow,2010,511956.4449,0
44,Cow Hollow,2011,518223.2559,0
45,Cow Hollow,2012,560901.8324,0
46,Cow Hollow,2013,598064.8395,0
47,Cow Hollow,2014,627728.7409,0
48,Cow Hollow,2015,664017.4209,0
49,Cow Hollow,2016,717956.3122,0
50,Crocker Amazon,2007,151060.197,0
51,Crocker Amazon,2008,157757.3703,0
52,Crocker Amazon,2009,159612.8703,0
53,Crocker Amazon,2010,160064.2164,0
54,Crocker Amazon,2011,168466.0769,0
55,Crocker Amazon,2012,171720.4231,0
56,Crocker Amazon,2013,182032.9431,0
57,Crocker Amazon,2014,193343.0875,0
58,Crocker Amazon,2015,207129.0169,0
59,Crocker Amazon,2016,221071.2699,0
60,Diamond Heights,2007,196532.565,0
61,Diamond Heights,2008,208914.2312,0
62,Diamond Heights,2009,221040.5758,0
63,Diamond Heights,2010,223258.799,0
64,Diamond Heights,2011,232622.3333,0
65,Diamond Heights,2012,238336.7968,0
66,Diamond Heights,2013,248897.2079,0
67,Diamond Heights,2014,262487.8452,0
68,Diamond Heights,2015,296746.0551,0
69,Diamond Heights,2016,313987.9263,0
70,Downtown,2007,293587.89835000003,0
71,Downtown,2008,324379.711375,0
72,Downtown,2009,357041.88245,0
73,Downtown,2010,384331.698025,0
74,Downtown,2011,401076.447425,0
75,Downtown,2012,416183.278725,0
76,Downtown,2013,441656.006875,0
77,Downtown,2014,462918.2822,0
78,Downtown,2015,487457.03955000004,0
79,Downtown,2016,517213.298475,0
80,Excelsior,2007,261207.54785000003,0
81,Excelsior,2008,277641.30715,0
82,Excelsior,2009,289948.39410000003,0
83,Excelsior,2010,293133.9181,0
84,Excelsior,2011,304959.68809999997,0
85,Excelsior,2012,311864.5962,0
86,Excelsior,2013,325834.76075,0
87,Excelsior,2014,346690.53435,0
88,Excelsior,2015,367263.28485000005,0
89,Excelsior,2016,395879.25529999996,0
90,Financial District,2007,1833415.957,0
91,Financial District,2008,2117937.7335,0
92,Financial District,2009,2336233.677,0
93,Financial District,2010,2414412.4115000004,0
94,Financial District,2011,2418137.019,0
95,Financial District,2012,2480934.516,0
96,Financial District,2013,2553681.3795000003,0
97,Financial District,2014,2676867.4255,0
98,Financial District,2015,2682548.7,0
99,Financial District,2016,2904879.4400000004,0
100,Forest Hill,2007,287397.39985,0
101,Forest Hill,2008,309876.88,0
102,Forest Hill,2009,323901.3448,0
103,Forest Hill,2010,322977.15955,0
104,Forest Hill,2011,336783.29365,0
105,Forest Hill,2012,353958.0553,0
106,Forest Hill,2013,365858.86985,0
107,Forest Hill,2014,405980.46420000005,0
108,Forest Hill,2015,432492.5063,0
109,Forest Hill,2016,464450.8924,0
110,Forest Knolls,2007,247007.4734,0
111,Forest Knolls,2008,283995.8327,0
112,Forest Knolls,2009,301677.924,0
113,Forest Knolls,2010,317105.1331,0
114,Forest Knolls,2011,333460.0551,0
115,Forest Knolls,2012,352654.7662,0
116,Forest Knolls,2013,368382.4049,0
117,Forest Knolls,2014,386308.2738,0
118,Forest Knolls,2015,436464.94700000004,0
119,Forest Knolls,2016,458681.98299999995,0
120,Glen Park,2007,222703.1656,0
121,Glen Park,2008,249422.4685,0
122,Glen Park,2009,260265.1695,0
123,Glen Park,2010,270315.2575,0
124,Glen Park,2011,278990.8786,0
125,Glen Park,2012,293963.951,0
126,Glen Park,2013,306351.1534,0
127,Glen Park,2014,325954.5017,0
128,Glen Park,2015,356082.1638,0
129,Glen Park,2016,384803.5299,0
130,Golden Gate Heights,2007,213019.6334,0
131,Golden Gate Heights,2008,225021.9904,0
132,Golden Gate Heights,2009,234461.03,0
133,Golden Gate Heights,2010,245102.9743,0
134,Golden Gate Heights,2011,254303.9838,0
135,Golden Gate Heights,2012,265229.5062,0
136,Golden Gate Heights,2013,277620.4677,0
137,Golden Gate Heights,2014,299835.4945,0
138,Golden Gate Heights,2015,317901.8786,0
139,Golden Gate Heights,2016,341101.3004,0
140,Haight,2007,266865.4373,0
141,Haight,2008,295156.8071,0
142,Haight,2009,317740.4931,0
143,Haight,2010,335199.8797,0
144,Haight,2011,349530.7092,0
145,Haight,2012,364659.515,0
146,Haight,2013,381530.1707,0
147,Haight,2014,392435.2274,0
148,Haight,2015,412984.5051,0
149,Haight,2016,440229.3614,0
150,Hayes Valley,2007,296898.5125,0
151,Hayes Valley,2008,330275.8949,0
152,Hayes Valley,2009,347530.6177,0
153,Hayes Valley,2010,361103.6864,0
154,Hayes Valley,2011,372836.3652,0
155,Hayes Valley,2012,393870.3295,0
156,Hayes Valley,2013,407516.0491,0
157,Hayes Valley,2014,379618.8083,0
158,Hayes Valley,2015,449677.9712,0
159,Hayes Valley,2016,471214.6869,0
160,Ingleside,2007,198025.3005,0
161,Ingleside,2008,215034.46343333332,0
162,Ingleside,2009,227436.2298,0
163,Ingleside,2010,229204.62203333332,0
164,Ingleside,2011,239158.26673333335,0
165,Ingleside,2012,248713.31630000003,0
166,Ingleside,2013,252314.54823333336,0
167,Ingleside,2014,273572.54366666666,0
168,Ingleside,2015,292443.74473333335,0
169,Ingleside,2016,312330.7976333333,0
170,Ingleside Heights,2007,164813.5833,0
171,Ingleside Heights,2008,175069.85100000002,0
172,Ingleside Heights,2009,171700.4969,0
173,Ingleside Heights,2010,171375.5021,0
174,Ingleside Heights,2011,163219.4491,0
175,Ingleside Heights,2012,177093.0141,0
176,Ingleside Heights,2013,178849.6583,0
177,Ingleside Heights,2014,201744.6323,0
178,Ingleside Heights,2015,215651.0776,0
179,Ingleside Heights,2016,224515.8526,0
180,Ingleside Terrace,2007,227586.461,0
181,Ingleside Terrace,2008,247797.7177,0
182,Ingleside Terrace,2009,264000.6492,0
183,Ingleside Terrace,2010,266893.7755,0
184,Ingleside Terrace,2011,275703.4462,0
185,Ingleside Terrace,2012,285441.2513,0
186,Ingleside Terrace,2013,299835.2011,0
187,Ingleside Terrace,2014,326934.7708,0
188,Ingleside Terrace,2015,351266.2936,0
189,Ingleside Terrace,2016,384685.4303,0
190,Inner Richmond,2007,260863.033,0
191,Inner Richmond,2008,274579.2566,0
192,Inner Richmond,2009,295527.5814,0
193,Inner Richmond,2010,306209.4721,0
194,Inner Richmond,2011,315388.5407,0
195,Inner Richmond,2012,329123.8744,0
196,Inner Richmond,2013,341393.6116,0
197,Inner Richmond,2014,354023.499,0
198,Inner Richmond,2015,377333.1462,0
199,Inner Richmond,2016,400669.6681,0
200,Inner Sunset,2007,280427.69635,0
201,Inner Sunset,2008,304493.0318,0
202,Inner Sunset,2009,325263.4377,0
203,Inner Sunset,2010,332325.40595,0
204,Inner Sunset,2011,349438.7811,0
205,Inner Sunset,2012,370779.07830000005,0
206,Inner Sunset,2013,388277.15445000003,0
207,Inner Sunset,2014,406087.96985,0
208,Inner Sunset,2015,425286.38645,0
209,Inner Sunset,2016,450503.3374,0
210,Lake,2007,336394.6742,0
211,Lake,2008,357013.4723,0
212,Lake,2009,386006.0841,0
213,Lake,2010,393346.17299999995,0
214,Lake,2011,407700.7178,0
215,Lake,2012,422759.6655,0
216,Lake,2013,438877.499,0
217,Lake,2014,464123.5151,0
218,Lake,2015,492922.7314,0
219,Lake,2016,525258.7667,0
220,Lakeshore,2007,267230.9289,0
