Date,Seasonal Adjustment,Average Daily Rate,Hotel Occupancy,Revenue per Available Hotel Room
07/01/2004 00:00,Seasonally Adjusted,141.6038,0.738483639,104.5721
08/01/2004 00:00,Seasonally Adjusted,143.1187,0.719570524,102.984
09/01/2004 00:00,Seasonally Adjusted,137.4212,0.750756699,103.1699
10/01/2004 00:00,Seasonally Adjusted,141.5987,0.778465724,110.2297
11/01/2004 00:00,Seasonally Adjusted,148.4632,0.682347228,101.3035
12/01/2004 00:00,Seasonally Adjusted,153.0792,0.761018901,116.4962
01/01/2005 00:00,Seasonally Adjusted,148.8121,0.729099971,108.4989
02/01/2005 00:00,Seasonally Adjusted,151.1379,0.740804763,111.9637
03/01/2005 00:00,Seasonally Adjusted,153.0208,0.744908539,113.9865
04/01/2005 00:00,Seasonally Adjusted,157.8543,0.740657015,116.9159
05/01/2005 00:00,Seasonally Adjusted,154.0527,0.756544521,116.5477
06/01/2005 00:00,Seasonally Adjusted,150.7068,0.743565795,112.0605
07/01/2005 00:00,Seasonally Adjusted,152.0268,0.768532912,116.8376
08/01/2005 00:00,Seasonally Adjusted,151.0215,0.769896315,116.2709
09/01/2005 00:00,Seasonally Adjusted,155.2344,0.809639577,125.6839
10/01/2005 00:00,Seasonally Adjusted,150.7996,0.774780679,116.8366
11/01/2005 00:00,Seasonally Adjusted,157.2,0.766694428,120.5244
12/01/2005 00:00,Seasonally Adjusted,163.7998,0.741722067,121.494
01/01/2006 00:00,Seasonally Adjusted,160.7223,0.755878267,121.4865
02/01/2006 00:00,Seasonally Adjusted,161.3353,0.723244946,116.6849
03/01/2006 00:00,Seasonally Adjusted,172.3194,0.771585704,132.9592
04/01/2006 00:00,Seasonally Adjusted,169.9458,0.77044215,130.9334
05/01/2006 00:00,Seasonally Adjusted,166.1086,0.73818648,122.6191
06/01/2006 00:00,Seasonally Adjusted,167.8425,0.737163629,123.7274
07/01/2006 00:00,Seasonally Adjusted,165.043,0.746678895,123.2341
08/01/2006 00:00,Seasonally Adjusted,163.9165,0.730165428,119.6862
09/01/2006 00:00,Seasonally Adjusted,168.0008,0.795838902,133.7016
10/01/2006 00:00,Seasonally Adjusted,176.6446,0.789520859,139.4646
11/01/2006 00:00,Seasonally Adjusted,171.414,0.776426798,133.0904
12/01/2006 00:00,Seasonally Adjusted,172.9293,0.752576536,130.1425
01/01/2007 00:00,Seasonally Adjusted,179.4341,0.727882775,130.607
02/01/2007 00:00,Seasonally Adjusted,186.9618,0.791289236,147.9409
03/01/2007 00:00,Seasonally Adjusted,188.4775,0.773637794,145.8133
04/01/2007 00:00,Seasonally Adjusted,183.4274,0.764485123,140.2275
05/01/2007 00:00,Seasonally Adjusted,185.5201,0.800024091,148.4205
06/01/2007 00:00,Seasonally Adjusted,175.069,0.753626341,131.9366
07/01/2007 00:00,Seasonally Adjusted,185.5056,0.773085832,143.4117
08/01/2007 00:00,Seasonally Adjusted,187.9078,0.769013407,144.5036
09/01/2007 00:00,Seasonally Adjusted,187.7206,0.799519082,150.0862
10/01/2007 00:00,Seasonally Adjusted,187.4537,0.795969687,149.2075
11/01/2007 00:00,Seasonally Adjusted,198.6868,0.821844521,163.2896
12/01/2007 00:00,Seasonally Adjusted,176.0552,0.77187337,135.8923
01/01/2008 00:00,Seasonally Adjusted,184.5935,0.785090953,144.9227
02/01/2008 00:00,Seasonally Adjusted,197.1489,0.811044029,159.8965
03/01/2008 00:00,Seasonally Adjusted,186.4007,0.784924287,146.3105
04/01/2008 00:00,Seasonally Adjusted,183.7442,0.768456474,141.1994
05/01/2008 00:00,Seasonally Adjusted,180.0821,0.771037711,138.8501
06/01/2008 00:00,Seasonally Adjusted,195.0557,0.782893383,152.7078
07/01/2008 00:00,Seasonally Adjusted,189.8645,0.808598609,153.5242
08/01/2008 00:00,Seasonally Adjusted,183.6128,0.810510112,148.82
09/01/2008 00:00,Seasonally Adjusted,192.5804,0.796758947,153.4401
10/01/2008 00:00,Seasonally Adjusted,182.8225,0.759119239,138.7841
11/01/2008 00:00,Seasonally Adjusted,184.2355,0.740741444,136.4709
12/01/2008 00:00,Seasonally Adjusted,188.6491,0.80564283,151.9838
01/01/2009 00:00,Seasonally Adjusted,169.4801,0.742489119,125.8372
02/01/2009 00:00,Seasonally Adjusted,157.9055,0.648615726,102.42
03/01/2009 00:00,Seasonally Adjusted,162.4422,0.700788612,113.8376
04/01/2009 00:00,Seasonally Adjusted,157.9462,0.743635529,117.4544
05/01/2009 00:00,Seasonally Adjusted,150.1389,0.721760865,108.3644
06/01/2009 00:00,Seasonally Adjusted,148.4696,0.736249034,109.3106
07/01/2009 00:00,Seasonally Adjusted,153.8127,0.783102256,120.4511
08/01/2009 00:00,Seasonally Adjusted,152.6586,0.783139945,119.5531
09/01/2009 00:00,Seasonally Adjusted,161.44,0.802279217,129.52
10/01/2009 00:00,Seasonally Adjusted,174.8168,0.806103561,140.9204
11/01/2009 00:00,Seasonally Adjusted,159.9025,0.758043434,121.213
12/01/2009 00:00,Seasonally Adjusted,152.5263,0.756194692,115.3395
01/01/2010 00:00,Seasonally Adjusted,156.1812,0.760747048,118.8144
02/01/2010 00:00,Seasonally Adjusted,150.5339,0.762754534,114.8204
03/01/2010 00:00,Seasonally Adjusted,153.4666,0.792106601,121.5619
04/01/2010 00:00,Seasonally Adjusted,151.1186,0.789306068,119.2788
05/01/2010 00:00,Seasonally Adjusted,159.4021,0.79229439,126.2934
06/01/2010 00:00,Seasonally Adjusted,150.7365,0.775576622,116.9077
07/01/2010 00:00,Seasonally Adjusted,161.0473,0.804045688,129.4894
08/01/2010 00:00,Seasonally Adjusted,168.3631,0.815807564,137.3519
09/01/2010 00:00,Seasonally Adjusted,176.5336,0.807799487,142.6037
10/01/2010 00:00,Seasonally Adjusted,172.7428,0.81347365,140.5217
11/01/2010 00:00,Seasonally Adjusted,162.3472,0.7721013,125.3485
12/01/2010 00:00,Seasonally Adjusted,173.6177,0.827351769,143.6429
01/01/2011 00:00,Seasonally Adjusted,179.0489,0.852036694,152.5562
02/01/2011 00:00,Seasonally Adjusted,181.8734,0.837383754,152.2978
03/01/2011 00:00,Seasonally Adjusted,176.1588,0.801341004,141.1633
04/01/2011 00:00,Seasonally Adjusted,166.3684,0.800227284,133.1325
05/01/2011 00:00,Seasonally Adjusted,191.4694,0.817415919,156.5101
06/01/2011 00:00,Seasonally Adjusted,178.4843,0.798441499,142.5092
07/01/2011 00:00,Seasonally Adjusted,192.3668,0.818615033,157.4744
08/01/2011 00:00,Seasonally Adjusted,189.9491,0.812275929,154.2911
09/01/2011 00:00,Seasonally Adjusted,195.4215,0.835400836,163.2553
10/01/2011 00:00,Seasonally Adjusted,205.9785,0.805182299,165.8502
11/01/2011 00:00,Seasonally Adjusted,200.399,0.843472009,169.031
12/01/2011 00:00,Seasonally Adjusted,182.2957,0.810467039,147.7447
01/01/2012 00:00,Seasonally Adjusted,200.2238,0.832561569,166.6986
02/01/2012 00:00,Seasonally Adjusted,213.3869,0.822018915,175.408
03/01/2012 00:00,Seasonally Adjusted,190.1085,0.804419139,152.9269
04/01/2012 00:00,Seasonally Adjusted,187.7816,0.796255933,149.5222
05/01/2012 00:00,Seasonally Adjusted,196.0518,0.819348345,160.6347
06/01/2012 00:00,Seasonally Adjusted,211.439,0.835939897,176.7503
07/01/2012 00:00,Seasonally Adjusted,212.5469,0.811330361,172.4458
08/01/2012 00:00,Seasonally Adjusted,218.4274,0.816690472,178.3875
09/01/2012 00:00,Seasonally Adjusted,220.7768,0.827120432,182.609
10/01/2012 00:00,Seasonally Adjusted,223.9233,0.829135091,185.6627
11/01/2012 00:00,Seasonally Adjusted,197.1601,0.844553383,166.5123
12/01/2012 00:00,Seasonally Adjusted,199.2456,0.87318175,173.9776
01/01/2013 00:00,Seasonally Adjusted,211.5866,0.859339865,181.8248
02/01/2013 00:00,Seasonally Adjusted,201.8483,0.854943571,172.5689
03/01/2013 00:00,Seasonally Adjusted,207.3505,0.830070259,172.1155
