Region Name,Region Type,Data Type,2011,2012,2013,2014,2015,2016,2017,2018
Bayview,neighborhood,All Homes,30723,28821,30433,35338,42870,45681,45747,32090
Bernal Heights,neighborhood,All Homes,34471,35739,38924,43654,53977,54833,53741,40077
Buena Vista,neighborhood,All Homes,42407,45678,49364,53889,61646,65690,61917,46656
Corona Heights,neighborhood,All Homes,41051,44269,48263,52768,61781,64072,59849,45681
Cow Hollow,neighborhood,All Homes,52856,52816,56455,62256,75947,78557,71952,54149
Crocker Amazon,neighborhood,All Homes,31133,29851,32700,35965,42999,46775,45098,33824
Diamond Heights,neighborhood,All Homes,36285,37187,40827,45496,52941,54683,52414,38393
Downtown,neighborhood,All Homes,30867,32413,37094,41836,45888,48147,43747,32417
Excelsior,neighborhood,All Homes,31277,29939,32073,36329,43399,47102,45230,33649
Financial District,neighborhood,All Homes,50749,49586,56336,59751,75575,73448,68870,51354
Forest Hill,neighborhood,All Homes,48312,46451,52137,55429,67766,72182,68794,49156
Forest Knolls,neighborhood,All Homes,37977,40084,40165,47934,61497,61292,55385,42890
Glen Park,neighborhood,All Homes,39661,38692,40460,46253,58964,61949,56496,42794
Golden Gate Heights,neighborhood,All Homes,41205,39673,41132,47530,56869,62153,58254,42742
Haight,neighborhood,All Homes,40705,43470,46185,51620,59076,61462,57491,43971
Hayes Valley,neighborhood,All Homes,37659,42695,45522,50234,57185,57397,55167,43179
Ingleside,neighborhood,All Homes,30815,30007,32206,36867,44021,47426,44539,33420
Ingleside Heights,neighborhood,All Homes,29344,29281,30830,35377,42041,44217,42318,31745
Ingleside Terrace,neighborhood,All Homes,42007,39465,40905,48414,59744,64533,60947,45093
Inner Richmond,neighborhood,All Homes,42140,42804,46078,54086,64403,67152,63365,46467
Inner Sunset,neighborhood,All Homes,38809,38314,39644,46726,54878,58611,54780,41285
Lake,neighborhood,All Homes,53120,50271,55084,64645,77554,80636,80655,61713
Lakeshore,neighborhood,All Homes,36655,34822,37181,42678,49551,54499,51854,39996
Laurel Heights,neighborhood,All Homes,53096,52995,58366,65464,83258,86230,83106,60329
Little Hollywood,neighborhood,All Homes,30344,28978,31431,35330,41639,44587,43736,31833
Lone Mountain,neighborhood,All Homes,40284,42581,45762,50898,59236,63177,60904,44574
Lower Pacific Heights,neighborhood,All Homes,35917,39761,43776,48677,56145,54229,53018,39214
Marina,neighborhood,All Homes,51035,52040,58240,63926,77660,79339,76170,58584
Midtown Terrace,neighborhood,All Homes,35627,37669,39682,44805,52528,53875,50628,37701
Miraloma Park,neighborhood,All Homes,37254,36974,38700,44368,52094,54622,52528,38525
Mission,neighborhood,All Homes,36022,40006,43726,48227,56321,55704,54528,41762
Mission Bay,neighborhood,All Homes,40279,43564,50659,54253,61977,61331,58614,44032
Mission Terrace,neighborhood,All Homes,32045,31446,33452,37844,46263,50034,48847,35938
Mount Davidson Manor,neighborhood,All Homes,36736,36010,37598,44049,53196,56955,54700,40647
Nob Hill,neighborhood,All Homes,42413,44622,48324,51749,62760,64219,60638,45348
Noe Valley,neighborhood,All Homes,44162,44754,49995,53547,64871,67293,64255,47974
North Beach,neighborhood,All Homes,37995,41975,47594,49460,58693,57787,54659,42387
North Waterfront,neighborhood,All Homes,34702,38590,44866,45927,52775,53171,50236,37756
Oceanview,neighborhood,All Homes,30397,29645,31425,36191,42631,46151,43351,32746
Outer Mission,neighborhood,All Homes,30807,29746,32378,35883,43435,46788,44454,33667
Outer Richmond,neighborhood,All Homes,33598,35080,37893,44089,49632,53234,50425,37850
Outer Sunset,neighborhood,All Homes,31582,32118,35341,40952,46329,49051,46989,35602
Pacific Heights,neighborhood,All Homes,52744,52688,55809,60294,76171,77006,71138,52814
Panhandle,neighborhood,All Homes,37596,42397,44105,49299,56483,57848,55198,42972
Parkside,neighborhood,All Homes,33088,33713,36523,41617,47293,50989,49167,36131
Portola,neighborhood,All Homes,31881,30348,32281,36471,44678,48789,47583,33856
Potrero Hill,neighborhood,All Homes,36907,39975,43740,48146,57273,57852,54759,41298
Presidio Heights,neighborhood,All Homes,127688,123665,139274,151423,177832,193510,182993,124560
Russian Hill,neighborhood,All Homes,44766,46269,51547,55759,65678,66790,63153,48500
Seacliff,neighborhood,All Homes,101636,95365,108971,118992,150193,160275,147824,101210
Silver Terrace,neighborhood,All Homes,30945,29512,31076,36568,43563,46207,45820,31837
South Beach,neighborhood,All Homes,39710,41019,47255,51133,58609,57475,54793,41497
South of Market,neighborhood,All Homes,34134,37410,40589,45420,51266,50702,48045,35362
St. Francis Wood,neighborhood,All Homes,69361,65532,68816,72159,94538,105237,107361,73506
Stonestown,neighborhood,All Homes,40306,37921,39094,44954,55618,59743,57069,42223
Sunnyside,neighborhood,All Homes,32209,32308,35156,39570,46798,50422,49296,36075
Telegraph Hill,neighborhood,All Homes,39437,42125,46954,49743,58743,57462,54675,41360
Upper Market,neighborhood,All Homes,37292,40576,42612,48107,55634,55207,52907,39293
Visitacion Valley,neighborhood,All Homes,29865,28593,31176,34997,41458,44562,43284,31311
Western Addition,neighborhood,All Homes,34341,37841,43551,47975,54058,54934,51436,38234
Westwood Highlands,neighborhood,All Homes,38955,38086,37890,45668,56137,58110,54588,41366
Westwood Park,neighborhood,All Homes,33709,34381,35900,43402,50441,53177,52141,39917
