,Region Name,Region Type,Data Type,2011,2012,2013,2014,2015,2016,2017,Avg Rent Rate,City,Lat,Lng
0,Bayview,neighborhood,All Homes,30723,28821,30433,35338,42870,45681,45747,37087.57142857143,San Francisco,37.730416,-122.384424
1,Bernal Heights,neighborhood,All Homes,34471,35739,38924,43654,53977,54833,53741,45048.42857142857,San Francisco,37.7389496,-122.4152013
2,Buena Vista,neighborhood,All Homes,42407,45678,49364,53889,61646,65690,61917,54370.142857142855,San Francisco,37.8065045,-122.4207783
3,Corona Heights,neighborhood,All Homes,41051,44269,48263,52768,61781,64072,59849,53150.42857142857,San Francisco,37.7618119,-122.4431851
4,Cow Hollow,neighborhood,All Homes,52856,52816,56455,62256,75947,78557,71952,64405.57142857143,San Francisco,37.798033,-122.4396463
5,Crocker Amazon,neighborhood,All Homes,31133,29851,32700,35965,42999,46775,45098,37788.71428571428,San Francisco,37.71195230000001,-122.4375836
6,Diamond Heights,neighborhood,All Homes,36285,37187,40827,45496,52941,54683,52414,45690.42857142857,San Francisco,37.7423723,-122.4424773
7,Downtown,neighborhood,All Homes,30867,32413,37094,41836,45888,48147,43747,39998.857142857145,San Francisco,37.7945742,-122.3999445
8,Excelsior,neighborhood,All Homes,31277,29939,32073,36329,43399,47102,45230,37907.0,San Francisco,37.7244152,-122.4272295
9,Financial District,neighborhood,All Homes,50749,49586,56336,59751,75575,73448,68870,62045.0,San Francisco,37.7945742,-122.3999445
10,Forest Hill,neighborhood,All Homes,48312,46451,52137,55429,67766,72182,68794,58724.42857142857,San Francisco,37.7473152,-122.4651232
11,Forest Knolls,neighborhood,All Homes,37977,40084,40165,47934,61497,61292,55385,49190.57142857143,San Francisco,37.75858789999999,-122.4594622
12,Glen Park,neighborhood,All Homes,39661,38692,40460,46253,58964,61949,56496,48925.0,San Francisco,37.73777150000001,-122.4321041
13,Golden Gate Heights,neighborhood,All Homes,41205,39673,41132,47530,56869,62153,58254,49545.142857142855,San Francisco,37.7527187,-122.4707839
14,Haight,neighborhood,All Homes,40705,43470,46185,51620,59076,61462,57491,51429.857142857145,San Francisco,37.7692204,-122.4481393
15,Hayes Valley,neighborhood,All Homes,37659,42695,45522,50234,57185,57397,55167,49408.42857142857,San Francisco,37.7759073,-122.4245247
16,Ingleside,neighborhood,All Homes,30815,30007,32206,36867,44021,47426,44539,37983.0,San Francisco,37.7198213,-122.4538009
17,Ingleside Heights,neighborhood,All Homes,29344,29281,30830,35377,42041,44217,42318,36201.142857142855,San Francisco,37.7130811,-122.4679536
18,Ingleside Terrace,neighborhood,All Homes,42007,39465,40905,48414,59744,64533,60947,50859.28571428572,San Francisco,37.7198213,-122.4538009
19,Inner Richmond,neighborhood,All Homes,42140,42804,46078,54086,64403,67152,63365,54289.71428571428,San Francisco,37.7798704,-122.4647458
20,Inner Sunset,neighborhood,All Homes,38809,38314,39644,46726,54878,58611,54780,47394.57142857143,San Francisco,37.7607369,-122.4679536
21,Lake,neighborhood,All Homes,53120,50271,55084,64645,77554,80636,80655,65995.0,San Francisco,37.7226724,-122.4948384
22,Lakeshore,neighborhood,All Homes,36655,34822,37181,42678,49551,54499,51854,43891.42857142857,San Francisco,37.7233167,-122.4886792
23,Laurel Heights,neighborhood,All Homes,53096,52995,58366,65464,83258,86230,83106,68930.71428571429,San Francisco,37.7850214,-122.4509701
24,Little Hollywood,neighborhood,All Homes,30344,28978,31431,35330,41639,44587,43736,36577.857142857145,San Francisco,37.7114455,-122.3984311
25,Lone Mountain,neighborhood,All Homes,40284,42581,45762,50898,59236,63177,60904,51834.57142857143,San Francisco,37.7938181,-122.4644162
26,Lower Pacific Heights,neighborhood,All Homes,35917,39761,43776,48677,56145,54229,53018,47360.42857142857,San Francisco,37.786997,-122.4368151
27,Marina,neighborhood,All Homes,51035,52040,58240,63926,77660,79339,76170,65487.142857142855,San Francisco,37.8036667,-122.4368151
28,Midtown Terrace,neighborhood,All Homes,35627,37669,39682,44805,52528,53875,50628,44973.42857142857,San Francisco,37.7508014,-122.4538009
29,Miraloma Park,neighborhood,All Homes,37254,36974,38700,44368,52094,54622,52528,45220.0,San Francisco,37.7403241,-122.4447775
30,Mission,neighborhood,All Homes,36022,40006,43726,48227,56321,55704,54528,47790.57142857143,San Francisco,37.7598648,-122.4147977
31,Mission Bay,neighborhood,All Homes,40279,43564,50659,54253,61977,61331,58614,52953.857142857145,San Francisco,37.7730963,-122.3929225
32,Mission Terrace,neighborhood,All Homes,32045,31446,33452,37844,46263,50034,48847,39990.142857142855,San Francisco,37.7245693,-122.4433573
33,Mount Davidson Manor,neighborhood,All Homes,36736,36010,37598,44049,53196,56955,54700,45606.28571428572,San Francisco,37.7283105,-122.4630004
34,Nob Hill,neighborhood,All Homes,42413,44622,48324,51749,62760,64219,60638,53532.142857142855,San Francisco,37.793014,-122.416113
35,Noe Valley,neighborhood,All Homes,44162,44754,49995,53547,64871,67293,64255,55553.857142857145,San Francisco,37.7502378,-122.4337029
36,North Beach,neighborhood,All Homes,37995,41975,47594,49460,58693,57787,54659,49737.57142857143,San Francisco,37.8060532,-122.4103311
37,North Waterfront,neighborhood,All Homes,34702,38590,44866,45927,52775,53171,50236,45752.42857142857,San Francisco,37.8002483,-122.4011095
38,Oceanview,neighborhood,All Homes,30397,29645,31425,36191,42631,46151,43351,37113.0,San Francisco,37.7141828,-122.4566316
39,Outer Mission,neighborhood,All Homes,30807,29746,32378,35883,43435,46788,44454,37641.57142857143,San Francisco,37.71567770000001,-122.4457911
40,Outer Richmond,neighborhood,All Homes,33598,35080,37893,44089,49632,53234,50425,43421.57142857143,San Francisco,37.777677,-122.49531
41,Outer Sunset,neighborhood,All Homes,31582,32118,35341,40952,46329,49051,46989,40337.42857142857,San Francisco,37.7467314,-122.4863492
42,Pacific Heights,neighborhood,All Homes,52744,52688,55809,60294,76171,77006,71138,63692.857142857145,San Francisco,37.7925153,-122.4382307
43,Panhandle,neighborhood,All Homes,37596,42397,44105,49299,56483,57848,55198,48989.42857142857,San Francisco,37.7724379,-122.4462853
44,Parkside,neighborhood,All Homes,33088,33713,36523,41617,47293,50989,49167,41770.0,San Francisco,37.733048,-122.4785669
45,Portola,neighborhood,All Homes,31881,30348,32281,36471,44678,48789,47583,38861.57142857143,San Francisco,37.7297408,-122.4099154
46,Potrero Hill,neighborhood,All Homes,36907,39975,43740,48146,57273,57852,54759,48378.857142857145,San Francisco,37.7604929,-122.400869
47,Presidio Heights,neighborhood,All Homes,127688,123665,139274,151423,177832,193510,182993,156626.42857142858,San Francisco,37.7889125,-122.4538009
48,Russian Hill,neighborhood,All Homes,44766,46269,51547,55759,65678,66790,63153,56280.28571428572,San Francisco,37.8010963,-122.4195558
49,Seacliff,neighborhood,All Homes,101636,95365,108971,118992,150193,160275,147824,126179.42857142857,San Francisco,37.785941,-122.4907
50,Silver Terrace,neighborhood,All Homes,30945,29512,31076,36568,43563,46207,45820,37670.142857142855,San Francisco,37.7332209,-122.3985871
51,South Beach,neighborhood,All Homes,39710,41019,47255,51133,58609,57475,54793,49999.142857142855,San Francisco,37.7835826,-122.3899066
52,South of Market,neighborhood,All Homes,34134,37410,40589,45420,51266,50702,48045,43938.0,San Francisco,37.7785189,-122.4056395
53,St. Francis Wood,neighborhood,All Homes,69361,65532,68816,72159,94538,105237,107361,83286.28571428571,San Francisco,37.7377845,-122.4651232
54,Stonestown,neighborhood,All Homes,40306,37921,39094,44954,55618,59743,57069,47815.0,San Francisco,37.7282649,-122.4794164
55,Sunnyside,neighborhood,All Homes,32209,32308,35156,39570,46798,50422,49296,40822.71428571428,San Francisco,37.7299104,-122.4442888
56,Telegraph Hill,neighborhood,All Homes,39437,42125,46954,49743,58743,57462,54675,49877.0,San Francisco,37.8013407,-122.4056674
57,Twin Peaks,neighborhood,All Homes,39640,39891,41426,45785,54840,62134,58433,48878.42857142857,San Francisco,37.7525098,-122.4475683
58,Upper Market,neighborhood,All Homes,37292,40576,42612,48107,55634,55207,52907,47476.42857142857,San Francisco,37.75432350000001,-122.443555
59,Visitacion Valley,neighborhood,All Homes,29865,28593,31176,34997,41458,44562,43284,36276.42857142857,San Francisco,37.7171754,-122.4042514
60,Western Addition,neighborhood,All Homes,34341,37841,43551,47975,54058,54934,51436,46305.142857142855,San Francisco,37.7822112,-122.4341781
61,Westwood Highlands,neighborhood,All Homes,38955,38086,37890,45668,56137,58110,54588,47062.0,San Francisco,37.7332501,-122.4566316
62,Westwood Park,neighborhood,All Homes,33709,34381,35900,43402,50441,53177,52141,43307.28571428572,San Francisco,37.7261005,-122.4566316
