Region Name,Region Type,Data Type,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18
Bayview,neighborhood,All Homes,3183,3179,3078,2917,2706,2571,2480,2450,2437,2445,2445,2436,2401,2357,2344,2354,2378,2409,2438,2452,2440,2416,2389,2382,2393,2426,2454,2483,2502,2514,2505,2497,2503,2532,2562,2598,2626,2657,2677,2709,2747,2791,2832,2868,2922,3004,3097,3179,3237,3275,3315,3353,3393,3426,3445,3463,3512,3613,3737,3840,3887,3886,3828,3792,3751,3758,3755,3772,3785,3804,3830,3862,3875,3869,3835,3812,3804,3802,3807,3821,3850,3863,3851,3820,3769,3713,3663,3624,3602,3579,3558,3535,3519,3508,3502
Bernal Heights,neighborhood,All Homes,3155,3146,3110,3013,2882,2798,2763,2767,2780,2815,2846,2886,2899,2912,2914,2921,2935,2951,2994,3037,3075,3084,3043,2986,2906,2893,2913,2978,3054,3138,3204,3250,3295,3350,3402,3436,3451,3453,3446,3435,3389,3358,3394,3494,3611,3715,3813,3924,4007,4068,4124,4195,4302,4397,4476,4523,4562,4606,4651,4700,4723,4718,4693,4646,4607,4572,4562,4556,4542,4526,4525,4533,4537,4534,4518,4504,4480,4463,4448,4447,4454,4463,4480,4494,4500,4490,4470,4457,4448,4444,4440,4443,4451,4459,4465
Buena Vista,neighborhood,All Homes,3551,3604,3636,3601,3514,3413,3362,3371,3428,3514,3593,3634,3657,3684,3727,3739,3744,3750,3769,3799,3832,3874,3888,3872,3849,3835,3860,3907,3980,4042,4085,4116,4161,4209,4231,4231,4246,4296,4343,4379,4374,4392,4405,4421,4435,4477,4544,4649,4719,4751,4748,4746,4807,4863,4943,5045,5166,5297,5406,5494,5554,5577,5598,5583,5558,5517,5494,5472,5453,5434,5439,5429,5394,5319,5252,5181,5122,5060,5045,5048,5094,5161,5231,5267,5249,5207,5155,5139,5158,5187,5203,5201,5198,5203,5212
Corona Heights,neighborhood,All Homes,3504,3544,3551,3500,3406,3316,3261,3265,3307,3386,3456,3502,3532,3569,3600,3605,3612,3630,3666,3702,3732,3758,3762,3748,3734,3720,3752,3806,3891,3945,3986,4011,4065,4110,4144,4151,4179,4223,4255,4263,4236,4234,4255,4295,4344,4393,4471,4579,4686,4757,4784,4776,4810,4869,4971,5087,5204,5325,5415,5488,5528,5524,5519,5447,5394,5325,5314,5310,5314,5331,5347,5332,5272,5167,5076,4997,4939,4890,4864,4866,4905,4975,5058,5095,5102,5082,5070,5057,5060,5069,5082,5086,5087,5087,5083
Cow Hollow,neighborhood,All Homes,4243,4401,4438,4412,4324,4319,4370,4442,4495,4501,4472,4401,4350,4332,4342,4374,4387,4359,4326,4323,4395,4468,4504,4458,4441,4439,4522,4541,4553,4522,4506,4518,4609,4736,4843,4931,5035,5139,5175,5156,5090,5035,5011,5002,5051,5132,5266,5386,5446,5506,5571,5661,5799,5962,6176,6373,6558,6678,6744,6778,6821,6826,6797,6733,6681,6627,6570,6529,6483,6439,6424,6424,6450,6400,6319,6202,6097,5984,5883,5826,5836,5874,5917,5960,6004,6050,6061,6052,6034,6009,5979,5964,5972,6013,6065
Crocker Amazon,neighborhood,All Homes,2996,3036,2978,2857,2694,2612,2562,2525,2494,2475,2465,2474,2486,2511,2506,2498,2478,2495,2500,2499,2475,2456,2448,2458,2492,2546,2598,2628,2642,2659,2693,2723,2742,2756,2780,2806,2827,2846,2851,2863,2860,2868,2879,2900,2936,2999,3094,3188,3254,3273,3287,3297,3338,3394,3472,3528,3591,3667,3758,3838,3894,3935,3957,3957,3931,3907,3897,3913,3923,3917,3895,3858,3824,3796,3769,3742,3710,3681,3663,3682,3735,3801,3841,3849,3827,3798,3777,3759,3759,3758,3763,3756,3754,3751,3747
Diamond Heights,neighborhood,All Homes,3039,3075,3070,3054,3024,2995,2968,2955,2957,2990,3034,3072,3091,3075,3048,3015,3023,3048,3105,3168,3210,3221,3175,3124,3040,3010,3027,3114,3216,3303,3388,3456,3503,3528,3521,3554,3592,3625,3620,3595,3565,3580,3638,3721,3779,3847,3920,4015,4078,4138,4166,4199,4269,4362,4433,4467,4481,4497,4503,4509,4523,4532,4551,4604,4635,4634,4585,4559,4538,4519,4505,4517,4526,4510,4454,4391,4340,4321,4339,4374,4390,4381,4354,4351,4358,4361,4343,4328,4314,4288,4253,4228,4216,4211,4212
Downtown,neighborhood,All Homes,2706,2712,2665,2608,2566,2562,2567,2560,2573,2568,2548,2523,2540,2587,2635,2639,2618,2627,2667,2720,2746,2757,2763,2752,2733,2756,2833,2932,2998,3046,3048,3084,3104,3155,3168,3201,3243,3282,3319,3352,3397,3449,3490,3508,3522,3541,3571,3559,3554,3574,3619,3662,3691,3713,3739,3771,3821,3880,3936,3985,4030,4041,4090,4125,4204,4228,4243,4189,4086,3955,3852,3773,3722,3680,3664,3645,3625,3599,3575,3572,3587,3636,3701,3739,3728,3676,3626,3591,3580,3586,3600,3609,3612,3609,3604
Excelsior,neighborhood,All Homes,3008,3056,2990,2843,2662,2581,2549,2538,2531,2525,2509,2506,2508,2535,2542,2544,2511,2500,2495,2505,2495,2475,2458,2454,2466,2494,2533,2559,2581,2600,2619,2645,2668,2710,2751,2784,2802,2821,2819,2845,2860,2891,2913,2937,2989,3069,3167,3248,3292,3299,3313,3344,3397,3452,3496,3517,3560,3645,3772,3896,3982,4025,4030,4019,3992,3966,3932,3909,3892,3885,3890,3885,3867,3835,3805,3793,3786,3755,3706,3686,3719,3780,3819,3822,3798,3761,3712,3670,3671,3708,3758,3781,3790,3784,3775
Financial District,neighborhood,All Homes,4154,4152,4158,4184,4226,4229,4225,4275,4346,4385,4330,4233,4123,4035,3908,3880,3931,4041,4061,4086,4224,4375,4410,4299,4193,4178,4253,4343,4428,4452,4454,4465,4569,4780,4997,5180,5229,5186,5083,4986,4904,4862,4870,4871,4873,4871,4972,5052,5166,5241,5423,5618,5849,6061,6280,6480,6618,6666,6654,6645,6641,6640,6592,6486,6344,6193,6093,6042,6003,5979,5950,5933,5923,5910,5912,5912,5884,5800,5691,5608,5583,5592,5635,5697,5765,5791,5766,5728,5708,5692,5678,5662,5677,5707,5736
Forest Hill,neighborhood,All Homes,4306,4360,4401,4326,4206,4028,3885,3821,3845,3897,3921,3958,3999,4025,3974,3923,3910,3900,3900,3901,3940,3952,3871,3756,3697,3727,3848,3944,4053,4119,4202,4264,4368,4481,4665,4750,4768,4675,4606,4524,4403,4297,4225,4237,4372,4573,4828,5021,5148,5195,5111,5053,5038,5166,5377,5591,5780,5911,6031,6156,6255,6297,6292,6223,6141,6028,5945,5892,5865,5893,5939,6017,6007,5940,5814,5737,5692,5667,5627,5606,5644,5724,5825,5870,5849,5739,5608,5489,5434,5408,5412,5418,5427,5455,5505
Forest Knolls,neighborhood,All Homes,3363,3445,3415,3325,3163,3075,3051,3044,3062,3085,3126,3164,3221,3246,3267,3273,3260,3244,3270,3378,3510,3577,3550,3432,3244,3079,3016,3084,3192,3247,3264,3288,3365,3466,3536,3558,3554,3595,3675,3743,3764,3771,3790,3827,3875,3969,4111,4314,4495,4600,4598,4581,4620,4732,4891,5084,5260,5410,5525,5623,5635,5538,5392,5227,5136,5087,5098,5130,5146,5146,5104,5047,4948,4831,4722,4677,4660,4636,4594,4559,4554,4556,4576,4603,4623,4625,4630,4663,4720,4768,4803,4820,4827,4829,4830
Glen Park,neighborhood,All Homes,3530,3572,3546,3455,3336,3241,3183,3169,3183,3221,3279,3329,3361,3358,3329,3269,3221,3196,3214,3250,3274,3303,3269,3205,3105,3057,3062,3123,3209,3284,3327,3345,3397,3471,3541,3569,3564,3568,3567,3592,3593,3621,3670,3744,3813,3892,3999,4157,4264,4341,4344,4365,4441,4577,4727,4865,4999,5148,5272,5375,5434,5417,5377,5242,5152,5077,5100,5144,5180,5204,5203,5173,5099,4998,4891,4808,4727,4660,4610,4585,4594,4646,4727,4771,4761,4716,4681,4687,4715,4754,4780,4793,4800,4797,4787
Golden Gate Heights,neighborhood,All Homes,3928,4048,4059,3931,3710,3519,3363,3245,3189,3164,3196,3237,3290,3302,3299,3300,3297,3275,3242,3276,3361,3439,3445,3357,3239,3143,3135,3187,3265,3327,3374,3409,3469,3526,3595,3601,3612,3632,3700,3748,3771,3775,3789,3818,3870,3974,4110,4253,4347,4375,4329,4281,4275,4344,4469,4597,4742,4887,5068,5219,5319,5339,5360,5353,5304,5217,5130,5115,5124,5147,5159,5139,5090,5015,4959,4927,4904,4871,4846,4838,4849,4847,4831,4820,4797,4765,4724,4714,4735,4752,4764,4764,4760,4761,4768
Haight,neighborhood,All Homes,3559,3602,3592,3516,3405,3315,3258,3244,3275,3330,3393,3426,3457,3494,3534,3556,3560,3560,3575,3600,3640,3669,3695,3696,3699,3686,3697,3700,3745,3771,3793,3788,3835,3891,3941,3967,3999,4058,4098,4156,4170,4208,4221,4245,4253,4293,4356,4468,4551,4601,4599,4599,4620,4650,4703,4777,4903,5049,5196,5291,5347,5342,5314,5293,5269,5228,5148,5102,5077,5070,5056,5025,4979,4901,4818,4744,4707,4680,4685,4709,4763,4813,4867,4902,4912,4891,4865,4862,4876,4892,4898,4897,4895,4893,4893
Hayes Valley,neighborhood,All Homes,3094,3080,3089,3089,3065,3038,3021,3028,3038,3103,3184,3282,3340,3382,3418,3438,3468,3508,3569,3612,3639,3641,3633,3615,3582,3572,3591,3652,3712,3764,3793,3806,3811,3823,3831,3849,3899,3991,4069,4097,4080,4063,4077,4100,4135,4182,4238,4318,4395,4480,4540,4568,4587,4607,4665,4734,4809,4873,4918,4955,4967,4962,4938,4911,4879,4823,4769,4740,4741,4742,4729,4721,4713,4691,4643,4585,4546,4534,4547,4565,4580,4582,4597,4623,4665,4700,4726,4745,4769,4797,4823,4835,4836,4828,4820
Ingleside,neighborhood,All Homes,2935,2950,2893,2771,2610,2532,2510,2501,2499,2493,2487,2496,2503,2520,2511,2498,2472,2480,2504,2526,2526,2502,2482,2474,2503,2529,2540,2539,2536,2553,2571,2628,2682,2748,2793,2850,2875,2891,2897,2910,2909,2888,2901,2943,3032,3131,3237,3318,3354,3347,3326,3336,3382,3447,3514,3580,3677,3788,3902,3985,4032,4052,4049,4035,4014,3991,3970,3957,3949,3945,3938,3918,3868,3792,3704,3632,3589,3569,3573,3618,3696,3789,3848,3867,3848,3806,3755,3706,3696,3706,3723,3717,3709,3704,3704
Ingleside Heights,neighborhood,All Homes,2823,2887,2852,2732,2532,2408,2357,2348,2361,2356,2341,2346,2352,2359,2363,2379,2410,2437,2468,2485,2480,2451,2424,2428,2456,2500,2510,2516,2480,2447,2424,2443,2503,2572,2657,2724,2767,2787,2808,2805,2780,2726,2694,2711,2812,2980,3150,3274,3329,3308,3279,3262,3291,3329,3371,3414,3465,3545,3652,3757,3825,3851,3839,3811,3760,3710,3666,3649,3645,3641,3644,3646,3626,3580,3517,3464,3435,3429,3436,3452,3485,3540,3602,3646,3666,3646,3604,3553,3528,3521,3522,3513,3505,3500,3499
Ingleside Terrace,neighborhood,All Homes,3909,4012,4021,3913,3735,3578,3452,3349,3315,3322,3365,3368,3336,3253,3171,3101,3088,3102,3174,3277,3390,3483,3477,3438,3383,3381,3432,3429,3378,3315,3303,3313,3339,3382,3450,3477,3503,3584,3667,3726,3735,3755,3800,3856,3923,4007,4172,4406,4613,4754,4711,4691,4618,4686,4728,4804,4912,5061,5240,5377,5447,5469,5485,5511,5494,5424,5372,5369,5392,5397,5375,5309,5239,5166,5098,5022,4962,4952,4955,4990,5031,5098,5179,5235,5249,5176,5075,4970,4921,4913,4946,4984,5038,5095,5151
Inner Richmond,neighborhood,All Homes,3910,4014,4016,3904,3702,3534,3393,3311,3296,3333,3383,3405,3424,3439,3483,3517,3558,3540,3490,3460,3497,3593,3652,3670,3681,3663,3673,3622,3580,3519,3510,3618,3781,3960,4100,4184,4245,4286,4316,4332,4264,4206,4214,4311,4446,4573,4696,4827,4926,4975,4962,4930,4914,4968,5086,5238,5384,5532,5696,5839,5917,5937,5919,5848,5757,5655,5578,5530,5500,5493,5492,5491,5476,5413,5330,5255,5218,5200,5195,5206,5235,5278,5328,5375,5392,5353,5275,5182,5145,5137,5146,5132,5123,5139,5188
Inner Sunset,neighborhood,All Homes,3733,3758,3710,3598,3429,3287,3184,3108,3063,3046,3062,3087,3113,3122,3135,3138,3133,3112,3091,3125,3202,3305,3351,3322,3237,3163,3155,3165,3179,3183,3221,3270,3324,3364,3410,3433,3455,3485,3553,3628,3695,3741,3798,3850,3894,3948,4008,4108,4209,4294,4319,4317,4320,4350,4397,4447,4531,4641,4781,4888,4940,4947,4959,4953,4930,4893,4874,4889,4911,4927,4914,4863,4792,4706,4625,4573,4547,4535,4520,4516,4528,4545,4573,4601,4616,4601,4586,4586,4603,4609,4601,4587,4574,4569,4570
