Region Name,Region Type,Data Type,2011,2012,2013,2014,2015,2016,2017,2018
Bayview,neighborhood,All Homes,"$2,852 ","$2,961 ","$3,250 ","$3,644 ","$4,162 ","$4,411 ","$4,236 ","$4,137 "
Bernal Heights,neighborhood,All Homes,"$2,448 ","$2,393 ","$2,510 ","$2,895 ","$3,488 ","$3,798 ","$3,816 ","$3,558 "
Buena Vista,neighborhood,All Homes,"$2,864 ","$2,951 ","$3,273 ","$3,553 ","$4,543 ","$4,549 ","$4,480 ","$4,451 "
Corona Heights,neighborhood,All Homes,"$3,554 ","$3,799 ","$4,139 ","$4,428 ","$5,106 ","$5,463 ","$5,171 ","$5,198 "
Cow Hollow,neighborhood,All Homes,"$3,431 ","$3,702 ","$4,038 ","$4,320 ","$5,146 ","$5,328 ","$4,986 ","$5,082 "
Crocker Amazon,neighborhood,All Homes,"$4,407 ","$4,387 ","$4,581 ","$5,144 ","$6,466 ","$6,506 ","$5,972 ","$6,013 "
Diamond Heights,neighborhood,All Homes,"$2,518 ","$2,495 ","$2,733 ","$2,918 ","$3,560 ","$3,910 ","$3,756 ","$3,758 "
Downtown,neighborhood,All Homes,"$3,029 ","$3,075 ","$3,480 ","$3,750 ","$4,474 ","$4,545 ","$4,360 ","$4,253 "
Excelsior,neighborhood,All Homes,"$2,567 ","$2,720 ","$3,094 ","$3,515 ","$3,796 ","$4,088 ","$3,641 ","$3,604 "
Financial District,neighborhood,All Homes,"$2,537 ","$2,495 ","$2,657 ","$2,963 ","$3,539 ","$3,901 ","$3,783 ","$3,758 "
Forest Hill,neighborhood,All Homes,"$4,228 ","$4,086 ","$4,517 ","$4,938 ","$6,549 ","$6,023 ","$5,731 ","$5,707 "
Forest Knolls,neighborhood,All Homes,"$3,979 ","$3,901 ","$4,316 ","$4,549 ","$5,686 ","$5,976 ","$5,731 ","$5,434 "
Glen Park,neighborhood,All Homes,"$3,145 ","$3,270 ","$3,327 ","$3,851 ","$5,172 ","$5,117 ","$4,613 ","$4,803 "
Golden Gate Heights,neighborhood,All Homes,"$3,304 ","$3,250 ","$3,371 ","$3,779 ","$4,932 ","$5,163 ","$4,722 ","$4,780 "
Haight,neighborhood,All Homes,"$3,296 ","$3,299 ","$3,439 ","$3,844 ","$4,670 ","$5,143 ","$4,847 ","$4,760 "
Hayes Valley,neighborhood,All Homes,"$3,399 ","$3,600 ","$3,814 ","$4,249 ","$4,840 ","$5,090 ","$4,788 ","$4,893 "
