,Assessor Neighborhood,Closed Roll Year,Assessed Land Value,Pct Change,Region Type,Data Type,dollars
0,Bayview,2011,175691.8061,0,neighborhood,All Homes,"$2,852 "
1,Bayview,2012,177818.9145,0,neighborhood,All Homes,"$2,961 "
2,Bayview,2013,182203.7414,0,neighborhood,All Homes,"$3,250 "
3,Bayview,2014,185691.4514,0,neighborhood,All Homes,"$3,644 "
4,Bayview,2015,198571.0392,0,neighborhood,All Homes,"$4,162 "
5,Bayview,2016,223100.1971,0,neighborhood,All Homes,"$4,411 "
6,Bernal Heights,2011,228865.7828,0,neighborhood,All Homes,"$2,448 "
7,Bernal Heights,2012,241607.1984,0,neighborhood,All Homes,"$2,393 "
8,Bernal Heights,2013,252609.8593,0,neighborhood,All Homes,"$2,510 "
9,Bernal Heights,2014,270243.4228,0,neighborhood,All Homes,"$2,895 "
10,Bernal Heights,2015,292751.0199,0,neighborhood,All Homes,"$3,488 "
11,Bernal Heights,2016,324871.4457,0,neighborhood,All Homes,"$3,798 "
12,Buena Vista,2011,422857.4194,0,neighborhood,All Homes,"$2,864 "
13,Buena Vista,2012,443629.3065,0,neighborhood,All Homes,"$2,951 "
14,Buena Vista,2013,474521.2771,0,neighborhood,All Homes,"$3,273 "
15,Buena Vista,2014,497350.7677,0,neighborhood,All Homes,"$3,553 "
16,Buena Vista,2015,524772.2003,0,neighborhood,All Homes,"$4,543 "
17,Buena Vista,2016,564796.0802,0,neighborhood,All Homes,"$4,549 "
18,Corona Heights,2011,342979.0504,0,neighborhood,All Homes,"$3,554 "
19,Corona Heights,2012,364459.8624,0,neighborhood,All Homes,"$3,799 "
20,Corona Heights,2013,379856.647,0,neighborhood,All Homes,"$4,139 "
21,Corona Heights,2014,403671.1237,0,neighborhood,All Homes,"$4,428 "
22,Corona Heights,2015,424334.1375,0,neighborhood,All Homes,"$5,106 "
23,Corona Heights,2016,449347.9195,0,neighborhood,All Homes,"$5,463 "
24,Cow Hollow,2011,518223.2559,0,neighborhood,All Homes,"$3,431 "
25,Cow Hollow,2012,560901.8324,0,neighborhood,All Homes,"$3,702 "
26,Cow Hollow,2013,598064.8395,0,neighborhood,All Homes,"$4,038 "
27,Cow Hollow,2014,627728.7409,0,neighborhood,All Homes,"$4,320 "
28,Cow Hollow,2015,664017.4209,0,neighborhood,All Homes,"$5,146 "
29,Cow Hollow,2016,717956.3122,0,neighborhood,All Homes,"$5,328 "
30,Crocker Amazon,2011,168466.0769,0,neighborhood,All Homes,"$4,407 "
31,Crocker Amazon,2012,171720.4231,0,neighborhood,All Homes,"$4,387 "
32,Crocker Amazon,2013,182032.9431,0,neighborhood,All Homes,"$4,581 "
33,Crocker Amazon,2014,193343.0875,0,neighborhood,All Homes,"$5,144 "
34,Crocker Amazon,2015,207129.0169,0,neighborhood,All Homes,"$6,466 "
35,Crocker Amazon,2016,221071.2699,0,neighborhood,All Homes,"$6,506 "
36,Diamond Heights,2011,232622.3333,0,neighborhood,All Homes,"$2,518 "
37,Diamond Heights,2012,238336.7968,0,neighborhood,All Homes,"$2,495 "
38,Diamond Heights,2013,248897.2079,0,neighborhood,All Homes,"$2,733 "
39,Diamond Heights,2014,262487.8452,0,neighborhood,All Homes,"$2,918 "
40,Diamond Heights,2015,296746.0551,0,neighborhood,All Homes,"$3,560 "
41,Diamond Heights,2016,313987.9263,0,neighborhood,All Homes,"$3,910 "
42,Downtown,2011,401076.4474,0,neighborhood,All Homes,"$3,029 "
43,Downtown,2012,416183.2787,0,neighborhood,All Homes,"$3,075 "
44,Downtown,2013,441656.0069,0,neighborhood,All Homes,"$3,480 "
45,Downtown,2014,462918.2822,0,neighborhood,All Homes,"$3,750 "
46,Downtown,2015,487457.0396,0,neighborhood,All Homes,"$4,474 "
47,Downtown,2016,517213.2985,0,neighborhood,All Homes,"$4,545 "
48,Excelsior,2011,304959.6881,0,neighborhood,All Homes,"$2,567 "
49,Excelsior,2012,311864.5962,0,neighborhood,All Homes,"$2,720 "
50,Excelsior,2013,325834.7608,0,neighborhood,All Homes,"$3,094 "
51,Excelsior,2014,346690.5344,0,neighborhood,All Homes,"$3,515 "
52,Excelsior,2015,367263.2849,0,neighborhood,All Homes,"$3,796 "
53,Excelsior,2016,395879.2553,0,neighborhood,All Homes,"$4,088 "
54,Financial District,2011,2418137.019,0,neighborhood,All Homes,"$2,537 "
55,Financial District,2012,2480934.516,0,neighborhood,All Homes,"$2,495 "
